기준년월,광역지자체,중분류,지출액,전년도 지출액
201808,강원도,총소비,1.43078909E8,0.0
201808,강원도,호텔,5058850.0,0.0
201808,강원도,콘도,1.591812E7,0.0
201808,강원도,캠핑장/펜션,185295.0,0.0
201808,강원도,기타숙박,8329756.0,0.0
201808,강원도,여행업,439300.0,0.0
201808,강원도,육상운송,45157.0,0.0
201808,강원도,수상운송,50873.0,0.0
201808,강원도,항공운송,651.0,0.0
201808,강원도,렌터카,76769.0,0.0
201808,강원도,면세점,13408.0,0.0
201808,강원도,관광기념품,484665.0,0.0
201808,강원도,레저용품쇼핑,6155545.0,0.0
201808,강원도,대형쇼핑몰,1.0227509E7,0.0
201808,강원도,관광유원시설,984389.0,0.0
201808,강원도,골프장,1.150739E7,0.0
201808,강원도,스키장,348961.0,0.0
201808,강원도,기타레저,1455262.0,0.0
201808,강원도,문화서비스,2033739.0,0.0
201808,강원도,식음료,7.9763268E7,0.0
201809,강원도,총소비,1.03366403E8,0.0
201809,강원도,호텔,2403043.0,0.0
201809,강원도,콘도,6817429.0,0.0
201809,강원도,캠핑장/펜션,71401.0,0.0
201809,강원도,기타숙박,4921908.0,0.0
201809,강원도,여행업,305416.0,0.0
201809,강원도,육상운송,40250.0,0.0
201809,강원도,수상운송,40232.0,0.0
201809,강원도,항공운송,377.0,0.0
201809,강원도,렌터카,61887.0,0.0
201809,강원도,면세점,13641.0,0.0
201809,강원도,관광기념품,374782.0,0.0
201809,강원도,레저용품쇼핑,8841937.0,0.0
201809,강원도,대형쇼핑몰,9027070.0,0.0
201809,강원도,관광유원시설,375969.0,0.0
201809,강원도,골프장,1.1950012E7,0.0
201809,강원도,스키장,150703.0,0.0
201809,강원도,기타레저,1174328.0,0.0
201809,강원도,문화서비스,951569.0,0.0
201809,강원도,식음료,5.5844449E7,0.0
201810,강원도,총소비,1.03313141E8,0.0
201810,강원도,호텔,2191968.0,0.0
201810,강원도,콘도,6012598.0,0.0
201810,강원도,캠핑장/펜션,73165.0,0.0
201810,강원도,기타숙박,4957831.0,0.0
201810,강원도,여행업,371993.0,0.0
201810,강원도,육상운송,70032.0,0.0
201810,강원도,수상운송,48405.0,0.0
201810,강원도,항공운송,282.0,0.0
201810,강원도,렌터카,59111.0,0.0
201810,강원도,면세점,15049.0,0.0
201810,강원도,관광기념품,394351.0,0.0
201810,강원도,레저용품쇼핑,1.0779868E7,0.0
201810,강원도,대형쇼핑몰,7424398.0,0.0
201810,강원도,관광유원시설,347080.0,0.0
201810,강원도,골프장,1.2655304E7,0.0
201810,강원도,스키장,106383.0,0.0
201810,강원도,기타레저,1122421.0,0.0
201810,강원도,문화서비스,873228.0,0.0
201810,강원도,식음료,5.5809677E7,0.0
201811,강원도,총소비,8.6355375E7,0.0
201811,강원도,호텔,1688348.0,0.0
201811,강원도,콘도,4612147.0,0.0
201811,강원도,캠핑장/펜션,51735.0,0.0
201811,강원도,기타숙박,4228332.0,0.0
201811,강원도,여행업,217735.0,0.0
201811,강원도,육상운송,25705.0,0.0
201811,강원도,수상운송,24969.0,0.0
201811,강원도,항공운송,399.0,0.0
201811,강원도,렌터카,60152.0,0.0
201811,강원도,면세점,6683.0,0.0
201811,강원도,관광기념품,269602.0,0.0
201811,강원도,레저용품쇼핑,1.0124448E7,0.0
201811,강원도,대형쇼핑몰,6885193.0,0.0
201811,강원도,관광유원시설,230977.0,0.0
201811,강원도,골프장,9228591.0,0.0
201811,강원도,스키장,189293.0,0.0
201811,강원도,기타레저,1019076.0,0.0
201811,강원도,문화서비스,853857.0,0.0
201811,강원도,식음료,4.6638131E7,0.0
201812,강원도,총소비,9.9250661E7,0.0
201812,강원도,호텔,4034537.0,0.0
201812,강원도,콘도,8152562.0,0.0
201812,강원도,캠핑장/펜션,70886.0,0.0
201812,강원도,기타숙박,5342597.0,0.0
201812,강원도,여행업,223395.0,0.0
201812,강원도,육상운송,16621.0,0.0
201812,강원도,수상운송,10744.0,0.0
201812,강원도,항공운송,110.0,0.0
201812,강원도,렌터카,57733.0,0.0
201812,강원도,면세점,6570.0,0.0
