대분류,중분류,대분류 지출액,대분류 지출액 비율,중분류 지출액,중분류 지출액 비율
쇼핑업,관광기념품,1.99740479E8,16.5,3834143.0,1.9
쇼핑업,대형쇼핑몰,1.99740479E8,16.5,9.334082E7,46.7
쇼핑업,레저용품쇼핑,1.99740479E8,16.5,1.02422866E8,51.3
쇼핑업,면세점,1.99740479E8,16.5,142649.0,0.1
숙박업,기타숙박,1.85059822E8,15.3,6.2790965E7,33.9
숙박업,캠핑장/펜션,1.85059822E8,15.3,944957.0,0.5
숙박업,콘도,1.85059822E8,15.3,8.6577984E7,46.8
숙박업,호텔,1.85059822E8,15.3,3.4745916E7,18.8
식음료업,식음료,6.6506734E8,54.9,6.6506734E8,100.0
여가서비스업,골프장,1.57324639E8,13.0,1.1388806E8,72.4
여가서비스업,관광유원시설,1.57324639E8,13.0,4399624.0,2.8
여가서비스업,기타레저,1.57324639E8,13.0,1.466359E7,9.3
여가서비스업,문화서비스,1.57324639E8,13.0,1.8072462E7,11.5
여가서비스업,스키장,1.57324639E8,13.0,6300903.0,4.0
여행업,여행업,3558528.0,0.3,3558528.0,100.0
운송업,렌터카,1418069.0,0.1,697138.0,49.2
운송업,수상운송,1418069.0,0.1,356707.0,25.2
운송업,육상운송,1418069.0,0.1,355848.0,25.1
운송업,항공운송,1418069.0,0.1,8375.0,0.6
