기준년월,광역지자체,중분류,지출액,전년도 지출액
201808,경기도,총소비,7.4493499E8,0.0
201808,경기도,호텔,1961021.0,0.0
201808,경기도,콘도,1016055.0,0.0
201808,경기도,캠핑장/펜션,106790.0,0.0
201808,경기도,기타숙박,1.6308195E7,0.0
201808,경기도,여행업,204764.0,0.0
201808,경기도,육상운송,177992.0,0.0
201808,경기도,수상운송,44132.0,0.0
201808,경기도,렌터카,784426.0,0.0
201808,경기도,면세점,8892.0,0.0
201808,경기도,관광기념품,680629.0,0.0
201808,경기도,레저용품쇼핑,3.1228786E7,0.0
201808,경기도,대형쇼핑몰,2.1453242E8,0.0
201808,경기도,관광유원시설,1455983.0,0.0
201808,경기도,골프장,3.5515924E7,0.0
201808,경기도,스키장,616709.0,0.0
201808,경기도,기타레저,1.8570485E7,0.0
201808,경기도,문화서비스,1.1211432E7,0.0
201808,경기도,식음료,4.10510355E8,0.0
201809,경기도,총소비,7.85565251E8,0.0
201809,경기도,호텔,1536957.0,0.0
201809,경기도,콘도,577769.0,0.0
201809,경기도,캠핑장/펜션,47353.0,0.0
201809,경기도,기타숙박,1.4618582E7,0.0
201809,경기도,여행업,260791.0,0.0
201809,경기도,육상운송,186569.0,0.0
201809,경기도,수상운송,120134.0,0.0
201809,경기도,렌터카,779482.0,0.0
201809,경기도,면세점,14623.0,0.0
201809,경기도,관광기념품,718102.0,0.0
201809,경기도,레저용품쇼핑,4.2612832E7,0.0
201809,경기도,대형쇼핑몰,2.6019512E8,0.0
201809,경기도,관광유원시설,1940531.0,0.0
201809,경기도,골프장,5.0916494E7,0.0
201809,경기도,스키장,331052.0,0.0
201809,경기도,기타레저,1.5833853E7,0.0
201809,경기도,문화서비스,8561085.0,0.0
201809,경기도,식음료,3.86313921E8,0.0
201810,경기도,총소비,7.84204945E8,0.0
201810,경기도,호텔,1557251.0,0.0
201810,경기도,콘도,552345.0,0.0
201810,경기도,캠핑장/펜션,50693.0,0.0
201810,경기도,기타숙박,1.4619954E7,0.0
201810,경기도,여행업,300673.0,0.0
201810,경기도,육상운송,202845.0,0.0
201810,경기도,수상운송,94693.0,0.0
201810,경기도,렌터카,842606.0,0.0
201810,경기도,면세점,11207.0,0.0
201810,경기도,관광기념품,768534.0,0.0
201810,경기도,레저용품쇼핑,5.4397365E7,0.0
201810,경기도,대형쇼핑몰,2.44834598E8,0.0
201810,경기도,관광유원시설,1787850.0,0.0
201810,경기도,골프장,5.1782906E7,0.0
201810,경기도,스키장,304975.0,0.0
201810,경기도,기타레저,1.5703812E7,0.0
201810,경기도,문화서비스,8833632.0,0.0
201810,경기도,식음료,3.87559007E8,0.0
201811,경기도,총소비,7.3211045E8,0.0
201811,경기도,호텔,1455826.0,0.0
201811,경기도,콘도,518778.0,0.0
201811,경기도,캠핑장/펜션,43859.0,0.0
201811,경기도,기타숙박,1.4028676E7,0.0
201811,경기도,여행업,239345.0,0.0
201811,경기도,육상운송,192220.0,0.0
