대분류,중분류,대분류 지출액,대분류 지출액 비율,중분류 지출액,중분류 지출액 비율
쇼핑업,관광기념품,4.32632178E8,27.6,2704226.0,0.6
쇼핑업,대형쇼핑몰,4.32632178E8,27.6,2.92059498E8,67.5
쇼핑업,레저용품쇼핑,4.32632178E8,27.6,1.37854304E8,31.9
쇼핑업,면세점,4.32632178E8,27.6,14150.0,0.0
숙박업,기타숙박,7.4595583E7,4.8,5.0924627E7,68.3
숙박업,캠핑장/펜션,7.4595583E7,4.8,489495.0,0.7
숙박업,콘도,7.4595583E7,4.8,1.4807441E7,19.9
숙박업,호텔,7.4595583E7,4.8,8374020.0,11.2
식음료업,식음료,8.86277738E8,56.5,8.86277738E8,100.0
여가서비스업,골프장,1.72583011E8,11.0,1.21797307E8,70.6
여가서비스업,관광유원시설,1.72583011E8,11.0,3767872.0,2.2
여가서비스업,기타레저,1.72583011E8,11.0,3.1860149E7,18.5
여가서비스업,문화서비스,1.72583011E8,11.0,1.5157683E7,8.8
여행업,여행업,553425.0,0.0,553425.0,100.0
운송업,렌터카,3231948.0,0.2,407219.0,12.6
운송업,수상운송,3231948.0,0.2,1351602.0,41.8
운송업,육상운송,3231948.0,0.2,1464470.0,45.3
운송업,항공운송,3231948.0,0.2,8657.0,0.3
