대분류,중분류,대분류 지출액,대분류 지출액 비율,중분류 지출액,중분류 지출액 비율
쇼핑업,관광기념품,7.68071743E8,42.7,3804822.0,0.5
쇼핑업,대형쇼핑몰,7.68071743E8,42.7,6.53908396E8,85.1
쇼핑업,레저용품쇼핑,7.68071743E8,42.7,1.06442748E8,13.9
쇼핑업,면세점,7.68071743E8,42.7,3915777.0,0.5
숙박업,기타숙박,4.2625148E7,2.4,2.8345999E7,66.5
숙박업,캠핑장/펜션,4.2625148E7,2.4,39698.0,0.1
숙박업,콘도,4.2625148E7,2.4,18248.0,0.0
숙박업,호텔,4.2625148E7,2.4,1.4221202E7,33.4
식음료업,식음료,9.04113364E8,50.2,9.04113364E8,100.0
여가서비스업,골프장,8.1554083E7,4.5,1.6712795E7,20.5
여가서비스업,관광유원시설,8.1554083E7,4.5,3658810.0,4.5
여가서비스업,기타레저,8.1554083E7,4.5,4.4113006E7,54.1
여가서비스업,문화서비스,8.1554083E7,4.5,1.7068415E7,20.9
여가서비스업,스키장,8.1554083E7,4.5,1056.0,0.0
여행업,여행업,1121654.0,0.1,1121654.0,100.0
운송업,렌터카,1798150.0,0.1,799395.0,44.5
운송업,육상운송,1798150.0,0.1,73133.0,4.1
운송업,항공운송,1798150.0,0.1,925622.0,51.5
