기준년월,광역지자체,중분류,지출액,전년도 지출액
201808,대전광역시,총소비,1.15560634E8,0.0
201808,대전광역시,콘도,254.0,0.0
201808,대전광역시,호텔,391465.0,0.0
201808,대전광역시,캠핑장/펜션,0.0,0.0
201808,대전광역시,기타숙박,1555346.0,0.0
201808,대전광역시,여행업,57308.0,0.0
201808,대전광역시,육상운송,4.3200106E7,0.0
201808,대전광역시,렌터카,20733.0,0.0
201808,대전광역시,관광기념품,93417.0,0.0
201808,대전광역시,레저용품쇼핑,2776945.0,0.0
201808,대전광역시,대형쇼핑몰,2.0757229E7,0.0
201808,대전광역시,관광유원시설,90273.0,0.0
201808,대전광역시,골프장,707409.0,0.0
201808,대전광역시,기타레저,991084.0,0.0
201808,대전광역시,문화서비스,1078253.0,0.0
201808,대전광역시,식음료,4.3840815E7,0.0
201809,대전광역시,총소비,1.14224794E8,0.0
201809,대전광역시,콘도,1249.0,0.0
201809,대전광역시,호텔,408982.0,0.0
201809,대전광역시,기타숙박,1382682.0,0.0
201809,대전광역시,여행업,23942.0,0.0
201809,대전광역시,육상운송,3.991037E7,0.0
201809,대전광역시,렌터카,17283.0,0.0
201809,대전광역시,관광기념품,86182.0,0.0
201809,대전광역시,레저용품쇼핑,3717566.0,0.0
201809,대전광역시,대형쇼핑몰,2.3667727E7,0.0
201809,대전광역시,관광유원시설,138232.0,0.0
201809,대전광역시,골프장,957705.0,0.0
201809,대전광역시,기타레저,954401.0,0.0
201809,대전광역시,문화서비스,640660.0,0.0
201809,대전광역시,식음료,4.2317812E7,0.0
201810,대전광역시,총소비,1.15967041E8,0.0
201810,대전광역시,호텔,439418.0,0.0
201810,대전광역시,콘도,1079.0,0.0
201810,대전광역시,기타숙박,1430874.0,0.0
201810,대전광역시,여행업,36805.0,0.0
201810,대전광역시,육상운송,4.263628E7,0.0
201810,대전광역시,렌터카,21032.0,0.0
201810,대전광역시,관광기념품,90398.0,0.0
201810,대전광역시,레저용품쇼핑,4649767.0,0.0
201810,대전광역시,대형쇼핑몰,2.1773613E7,0.0
201810,대전광역시,관광유원시설,124783.0,0.0
201810,대전광역시,골프장,977044.0,0.0
201810,대전광역시,기타레저,962617.0,0.0
201810,대전광역시,문화서비스,536591.0,0.0
201810,대전광역시,식음료,4.2286741E7,0.0
201811,대전광역시,총소비,1.14815687E8,0.0
201811,대전광역시,콘도,852.0,0.0
201811,대전광역시,호텔,491893.0,0.0
201811,대전광역시,캠핑장/펜션,550.0,0.0
201811,대전광역시,기타숙박,1468560.0,0.0
201811,대전광역시,여행업,28872.0,0.0
201811,대전광역시,육상운송,4.2625411E7,0.0
201811,대전광역시,렌터카,14899.0,0.0
201811,대전광역시,관광기념품,89923.0,0.0
201811,대전광역시,레저용품쇼핑,4134477.0,0.0
201811,대전광역시,대형쇼핑몰,2.2075297E7,0.0
201811,대전광역시,관광유원시설,66606.0,0.0
201811,대전광역시,골프장,866002.0,0.0
201811,대전광역시,기타레저,936271.0,0.0
201811,대전광역시,문화서비스,638199.0,0.0
201811,대전광역시,식음료,4.1377877E7,0.0
201812,대전광역시,총소비,1.21406049E8,0.0
201812,대전광역시,호텔,699334.0,0.0
201812,대전광역시,콘도,1032.0,0.0
201812,대전광역시,캠핑장/펜션,380.0,0.0
201812,대전광역시,기타숙박,1534490.0,0.0
201812,대전광역시,여행업,38684.0,0.0
201812,대전광역시,육상운송,4.1209686E7,0.0
201812,대전광역시,렌터카,25116.0,0.0
201812,대전광역시,관광기념품,108622.0,0.0
201812,대전광역시,레저용품쇼핑,3941242.0,0.0
201812,대전광역시,대형쇼핑몰,2.4645907E7,0.0
201812,대전광역시,관광유원시설,66913.0,0.0
201812,대전광역시,골프장,559476.0,0.0
201812,대전광역시,기타레저,1023590.0,0.0
201812,대전광역시,문화서비스,775475.0,0.0
201812,대전광역시,식음료,4.6776102E7,0.0
201901,대전광역시,총소비,1.1348547E8,1.13374687E8
201901,대전광역시,콘도,945.0,226.0
201901,대전광역시,호텔,460668.0,528373.0
201901,대전광역시,캠핑장/펜션,0.0,130.0
201901,대전광역시,기타숙박,1339877.0,1544589.0
201901,대전광역시,여행업,16838.0,27083.0
201901,대전광역시,육상운송,4.3339082E7,4.3216957E7
201901,대전광역시,렌터카,20657.0,15638.0
201901,대전광역시,면세점,0.0,14670.0
201901,대전광역시,관광기념품,104100.0,69198.0
201901,대전광역시,레저용품쇼핑,2949478.0,3784105.0
201901,대전광역시,대형쇼핑몰,2.1032321E7,2.0938069E7
201901,대전광역시,관광유원시설,61900.0,56458.0
201901,대전광역시,골프장,565708.0,527725.0
201901,대전광역시,기타레저,1144463.0,1028183.0
201901,대전광역시,문화서비스,662230.0,799045.0
201901,대전광역시,식음료,4.1787203E7,4.0824238E7
201902,대전광역시,총소비,1.02231323E8,1.02813065E8
201902,대전광역시,호텔,433546.0,430268.0
201902,대전광역시,콘도,593.0,885.0
201902,대전광역시,캠핑장/펜션,0.0,100.0
201902,대전광역시,기타숙박,1189636.0,1365988.0
201902,대전광역시,여행업,10372.0,18598.0
201902,대전광역시,육상운송,3.7400984E7,3.654882E7
201902,대전광역시,렌터카,15080.0,15683.0
201902,대전광역시,면세점,0.0,4978.0
201902,대전광역시,관광기념품,78662.0,87294.0
201902,대전광역시,레저용품쇼핑,2787834.0,3462080.0
201902,대전광역시,대형쇼핑몰,2.0132346E7,2.194144E7
201902,대전광역시,관광유원시설,63591.0,47553.0
201902,대전광역시,골프장,519323.0,562030.0
201902,대전광역시,기타레저,1027315.0,866941.0
201902,대전광역시,문화서비스,766153.0,546511.0
201902,대전광역시,식음료,3.7805886E7,3.6913894E7
201903,대전광역시,총소비,1.15659177E8,1.16584571E8
201903,대전광역시,콘도,1064.0,1341.0
201903,대전광역시,호텔,536273.0,680933.0
201903,대전광역시,기타숙박,1421669.0,1577983.0
201903,대전광역시,여행업,35016.0,33584.0
201903,대전광역시,육상운송,3.892898E7,3.8821438E7
201903,대전광역시,렌터카,24982.0,16207.0
201903,대전광역시,관광기념품,86616.0,90722.0
201903,대전광역시,레저용품쇼핑,3800970.0,4425959.0
201903,대전광역시,대형쇼핑몰,2.3552646E7,2.3374622E7
201903,대전광역시,관광유원시설,140709.0,188991.0
201903,대전광역시,골프장,958479.0,801491.0
201903,대전광역시,기타레저,1247118.0,1077151.0
201903,대전광역시,문화서비스,548960.0,473309.0
201903,대전광역시,식음료,4.4375695E7,4.5020841E7
201904,대전광역시,총소비,1.09428931E8,1.13552411E8
201904,대전광역시,호텔,417512.0,431642.0
201904,대전광역시,콘도,1505.0,1242.0
201904,대전광역시,캠핑장/펜션,220.0,0.0
201904,대전광역시,기타숙박,1351261.0,1551275.0
201904,대전광역시,여행업,36766.0,17960.0
201904,대전광역시,육상운송,4.0308485E7,3.9993313E7
201904,대전광역시,렌터카,38496.0,14217.0
201904,대전광역시,관광기념품,108975.0,111343.0
201904,대전광역시,레저용품쇼핑,3696129.0,4322931.0
201904,대전광역시,대형쇼핑몰,1.8978486E7,2.0880505E7
201904,대전광역시,관광유원시설,143782.0,188651.0
201904,대전광역시,골프장,1097368.0,912265.0
201904,대전광역시,기타레저,996210.0,955438.0
201904,대전광역시,문화서비스,472725.0,568414.0
201904,대전광역시,식음료,4.1781008E7,4.3603215E7
201905,대전광역시,총소비,1.1731061E8,1.19036366E8
201905,대전광역시,콘도,1522.0,655.0
201905,대전광역시,호텔,488793.0,421492.0
201905,대전광역시,캠핑장/펜션,0.0,550.0
201905,대전광역시,기타숙박,1395048.0,1494438.0
201905,대전광역시,여행업,22796.0,43524.0
201905,대전광역시,육상운송,4.1119293E7,4.096818E7
201905,대전광역시,렌터카,39347.0,18550.0
201905,대전광역시,관광기념품,91344.0,119807.0
201905,대전광역시,레저용품쇼핑,4207468.0,4531370.0
201905,대전광역시,대형쇼핑몰,2.1577402E7,2.2807871E7
201905,대전광역시,관광유원시설,163101.0,254432.0
201905,대전광역시,골프장,1170994.0,1001092.0
201905,대전광역시,기타레저,1153238.0,946036.0
201905,대전광역시,문화서비스,642459.0,658545.0
201905,대전광역시,식음료,4.5237805E7,4.5769823E7
201906,대전광역시,총소비,1.09409307E8,1.10004923E8
201906,대전광역시,콘도,1560.0,612.0
201906,대전광역시,호텔,435440.0,404258.0
201906,대전광역시,캠핑장/펜션,772.0,0.0
201906,대전광역시,기타숙박,1382487.0,1444575.0
201906,대전광역시,여행업,26218.0,15387.0
201906,대전광역시,육상운송,3.8050525E7,3.7044006E7
201906,대전광역시,렌터카,23377.0,14797.0
201906,대전광역시,관광기념품,91916.0,84377.0
201906,대전광역시,레저용품쇼핑,3317742.0,3861038.0
201906,대전광역시,대형쇼핑몰,1.9972877E7,2.0796983E7
201906,대전광역시,관광유원시설,152768.0,169975.0
201906,대전광역시,골프장,1112487.0,999483.0
201906,대전광역시,기타레저,1170751.0,929344.0
201906,대전광역시,문화서비스,794821.0,609460.0
201906,대전광역시,식음료,4.2875566E7,4.3630628E7
201907,대전광역시,총소비,1.11315344E8,1.14731239E8
201907,대전광역시,호텔,405774.0,427967.0
201907,대전광역시,콘도,1399.0,1268.0
201907,대전광역시,캠핑장/펜션,99.0,200.0
201907,대전광역시,기타숙박,1384059.0,1479223.0
201907,대전광역시,여행업,34331.0,20061.0
201907,대전광역시,육상운송,4.2102033E7,4.104821E7
201907,대전광역시,렌터카,35106.0,28239.0
201907,대전광역시,관광기념품,83159.0,77979.0
201907,대전광역시,레저용품쇼핑,2989252.0,3379973.0
201907,대전광역시,대형쇼핑몰,1.8951958E7,2.2387657E7
201907,대전광역시,관광유원시설,86797.0,75404.0
201907,대전광역시,골프장,988638.0,786882.0
201907,대전광역시,기타레저,1353032.0,1032605.0
201907,대전광역시,문화서비스,791281.0,785729.0
201907,대전광역시,식음료,4.2108426E7,4.3199841E7
