기초지자체 명,기초지자체 지출액,기초지자체 지출액 비율
강남구,1.761002302E9,13.8
강동구,2.44595985E8,1.9
강북구,1.7293271E8,1.4
강서구,8.71064816E8,6.8
관악구,3.05031835E8,2.4
광진구,3.4897104E8,2.7
구로구,4.67763177E8,3.7
금천구,3.62345717E8,2.8
노원구,2.89020661E8,2.3
도봉구,1.25553862E8,1.0
동대문구,2.47585549E8,1.9
동작구,2.31310046E8,1.8
마포구,6.53987102E8,5.1
서대문구,3.01945166E8,2.4
서초구,1.204637638E9,9.4
성동구,3.08478674E8,2.4
성북구,1.93657535E8,1.5
송파구,8.00449072E8,6.3
양천구,2.11708699E8,1.7
영등포구,6.46220118E8,5.0
용산구,5.34075024E8,4.2
은평구,2.05146446E8,1.6
종로구,7.01052076E8,5.5
중구,1.460694155E9,11.4
중랑구,1.528955E8,1.2
