대분류,중분류,대분류 지출액,대분류 지출액 비율,중분류 지출액,중분류 지출액 비율
쇼핑업,관광기념품,2.00425424E8,23.6,1500888.0,0.7
쇼핑업,대형쇼핑몰,2.00425424E8,23.6,1.15330237E8,57.5
쇼핑업,레저용품쇼핑,2.00425424E8,23.6,8.2918416E7,41.4
쇼핑업,면세점,2.00425424E8,23.6,675882.0,0.3
숙박업,기타숙박,5.1397136E7,6.1,4.0102506E7,78.0
숙박업,캠핑장/펜션,5.1397136E7,6.1,336670.0,0.7
숙박업,콘도,5.1397136E7,6.1,6371237.0,12.4
숙박업,호텔,5.1397136E7,6.1,4586723.0,8.9
식음료업,식음료,4.84713722E8,57.1,4.84713722E8,100.0
여가서비스업,골프장,1.08767586E8,12.8,7.4298613E7,68.3
여가서비스업,관광유원시설,1.08767586E8,12.8,8831476.0,8.1
여가서비스업,기타레저,1.08767586E8,12.8,1.1459995E7,10.5
여가서비스업,문화서비스,1.08767586E8,12.8,1.4177502E7,13.0
여행업,여행업,642831.0,0.1,642831.0,100.0
운송업,렌터카,2379002.0,0.3,714239.0,30.0
운송업,수상운송,2379002.0,0.3,1096279.0,46.1
운송업,육상운송,2379002.0,0.3,484006.0,20.3
운송업,항공운송,2379002.0,0.3,84479.0,3.6
