기초지자체 명,기초지자체 지출액,기초지자체 지출액 비율
가평군,9.2133181E7,1.1
고양시 덕양구,2.84993757E8,3.4
고양시 일산동구,2.8237213E8,3.3
고양시 일산서구,1.97761319E8,2.3
과천시,3.6078391E7,0.4
광명시,1.62429925E8,1.9
광주시,1.68688918E8,2.0
구리시,1.32713984E8,1.6
군포시,1.04376019E8,1.2
김포시,2.95779928E8,3.5
남양주시,2.4254443E8,2.9
동두천시,3.2312413E7,0.4
부천시,2.72008119E8,3.2
성남시 분당구,6.68624489E8,7.9
성남시 수정구,1.4222819E8,1.7
성남시 중원구,9.8615547E7,1.2
수원시 권선구,1.97758374E8,2.3
수원시 영통구,2.43742575E8,2.9
수원시 장안구,1.02005075E8,1.2
수원시 팔달구,4.18470468E8,4.9
시흥시,2.777756E8,3.3
안산시 단원구,2.86362047E8,3.4
안산시 상록구,1.36443553E8,1.6
안성시,1.30234114E8,1.5
안양시 동안구,3.02709193E8,3.6
안양시 만안구,1.05215479E8,1.2
양주시,9.8225165E7,1.2
양평군,7.9669309E7,0.9
여주시,2.71052427E8,3.2
연천군,1.8463585E7,0.2
오산시,1.11927464E8,1.3
용인시 기흥구,2.96747609E8,3.5
용인시 수지구,2.0730891E8,2.4
용인시 처인구,2.06576203E8,2.4
의왕시,8.0958296E7,1.0
의정부시,1.99639216E8,2.3
이천시,2.19242901E8,2.6
파주시,2.97664025E8,3.5
평택시,2.1862679E8,2.6
포천시,1.33530929E8,1.6
하남시,2.87711862E8,3.4
화성시,3.57307432E8,4.2
