대분류,중분류,대분류 지출액,대분류 지출액 비율,중분류 지출액,중분류 지출액 비율
쇼핑업,관광기념품,2.65639017E8,23.5,875451.0,0.3
쇼핑업,대형쇼핑몰,2.65639017E8,23.5,2.28846482E8,86.1
쇼핑업,레저용품쇼핑,2.65639017E8,23.5,3.5917083E7,13.5
숙박업,기타숙박,1.9434387E7,1.7,1.4859929E7,76.5
숙박업,캠핑장/펜션,1.9434387E7,1.7,5156.0,0.0
숙박업,콘도,1.9434387E7,1.7,5691.0,0.0
숙박업,호텔,1.9434387E7,1.7,4563611.0,23.5
식음료업,식음료,4.49555524E8,39.7,4.49555524E8,100.0
여가서비스업,골프장,2.4672941E7,2.2,1.0729989E7,43.5
여가서비스업,관광유원시설,2.4672941E7,2.2,993381.0,4.0
여가서비스업,기타레저,2.4672941E7,2.2,7360543.0,29.8
여가서비스업,문화서비스,2.4672941E7,2.2,5589028.0,22.7
여행업,여행업,182038.0,0.0,182038.0,100.0
운송업,렌터카,3.71541122E8,32.8,332372.0,0.1
운송업,육상운송,3.71541122E8,32.8,3.71208751E8,99.9
