기준년월,광역지자체,중분류,지출액,전년도 지출액
201908,충청남도,총소비,1.06818305E8,1.01418571E8
201908,충청남도,호텔,959734.0,812446.0
201908,충청남도,콘도,2334476.0,2113469.0
201908,충청남도,캠핑장/펜션,87167.0,76387.0
201908,충청남도,기타숙박,3782353.0,3643823.0
201908,충청남도,여행업,56481.0,56265.0
201908,충청남도,육상운송,12339.0,3644.0
201908,충청남도,수상운송,77297.0,64516.0
201908,충청남도,항공운송,17162.0,24816.0
201908,충청남도,렌터카,24396.0,15625.0
201908,충청남도,관광기념품,140185.0,125988.0
201908,충청남도,레저용품쇼핑,6178778.0,6065583.0
201908,충청남도,대형쇼핑몰,1.7145417E7,1.774919E7
201908,충청남도,관광유원시설,235640.0,180416.0
201908,충청남도,골프장,5086432.0,4076507.0
201908,충청남도,기타레저,2244472.0,1859827.0
201908,충청남도,문화서비스,1086672.0,979401.0
201908,충청남도,식음료,6.7349303E7,6.3570668E7
201909,충청남도,총소비,9.4012188E7,1.04432796E8
201909,충청남도,호텔,388775.0,419333.0
201909,충청남도,콘도,741689.0,813466.0
201909,충청남도,캠핑장/펜션,32549.0,40387.0
201909,충청남도,기타숙박,2782400.0,3155332.0
201909,충청남도,여행업,93475.0,56250.0
201909,충청남도,육상운송,2265.0,6737.0
201909,충청남도,수상운송,40686.0,49770.0
201909,충청남도,항공운송,17985.0,18226.0
201909,충청남도,렌터카,13708.0,16150.0
201909,충청남도,관광기념품,104473.0,121193.0
201909,충청남도,레저용품쇼핑,7356982.0,8928973.0
201909,충청남도,대형쇼핑몰,1.7808089E7,2.0694355E7
201909,충청남도,관광유원시설,127065.0,138827.0
201909,충청남도,골프장,4592933.0,5055536.0
201909,충청남도,기타레저,1834510.0,1574873.0
201909,충청남도,문화서비스,672536.0,627531.0
201909,충청남도,식음료,5.7402068E7,6.2715856E7
201910,충청남도,총소비,1.02764785E8,1.03243307E8
201910,충청남도,호텔,373870.0,323767.0
201910,충청남도,콘도,585174.0,594161.0
201910,충청남도,캠핑장/펜션,44844.0,37166.0
201910,충청남도,기타숙박,3270284.0,3273783.0
201910,충청남도,여행업,96935.0,72882.0
201910,충청남도,육상운송,5352.0,7240.0
