대분류,중분류,대분류 지출액,대분류 지출액 비율,중분류 지출액,중분류 지출액 비율
쇼핑업,관광기념품,2.75530048E8,26.1,1327890.0,0.5
쇼핑업,대형쇼핑몰,2.75530048E8,26.1,1.87061835E8,67.9
쇼핑업,레저용품쇼핑,2.75530048E8,26.1,8.7140324E7,31.6
숙박업,기타숙박,4.5218151E7,4.3,3.1675447E7,70.1
숙박업,캠핑장/펜션,4.5218151E7,4.3,862571.0,1.9
숙박업,콘도,4.5218151E7,4.3,8265759.0,18.3
숙박업,호텔,4.5218151E7,4.3,4414374.0,9.8
식음료업,식음료,6.58535567E8,62.3,6.58535567E8,100.0
여가서비스업,골프장,7.6482806E7,7.2,5.6275923E7,73.6
여가서비스업,관광유원시설,7.6482806E7,7.2,1613683.0,2.1
여가서비스업,기타레저,7.6482806E7,7.2,1.2334077E7,16.1
여가서비스업,문화서비스,7.6482806E7,7.2,6259123.0,8.2
여행업,여행업,525674.0,0.0,525674.0,100.0
운송업,렌터카,767894.0,0.1,189004.0,24.6
운송업,수상운송,767894.0,0.1,441303.0,57.5
운송업,육상운송,767894.0,0.1,63339.0,8.2
운송업,항공운송,767894.0,0.1,74248.0,9.7
