기준년월,광역지자체,중분류,지출액,전년도 지출액
201801,경기도,총소비,6.44151722E8,0.0
201801,경기도,호텔,1297356.0,0.0
201801,경기도,콘도,779121.0,0.0
201801,경기도,캠핑장/펜션,35343.0,0.0
201801,경기도,기타숙박,1.4086931E7,0.0
201801,경기도,여행업,189191.0,0.0
201801,경기도,육상운송,174389.0,0.0
201801,경기도,수상운송,6716.0,0.0
201801,경기도,렌터카,589534.0,0.0
201801,경기도,면세점,9075.0,0.0
201801,경기도,관광기념품,530007.0,0.0
201801,경기도,레저용품쇼핑,3.4681226E7,0.0
201801,경기도,대형쇼핑몰,2.08312573E8,0.0
201801,경기도,관광유원시설,1043299.0,0.0
201801,경기도,골프장,7869061.0,0.0
201801,경기도,스키장,4314579.0,0.0
201801,경기도,기타레저,1.3095564E7,0.0
201801,경기도,문화서비스,7127835.0,0.0
201801,경기도,식음료,3.50009921E8,0.0
201802,경기도,총소비,6.18972958E8,0.0
201802,경기도,호텔,1172383.0,0.0
201802,경기도,콘도,697559.0,0.0
201802,경기도,캠핑장/펜션,31058.0,0.0
201802,경기도,기타숙박,1.2933889E7,0.0
201802,경기도,여행업,157193.0,0.0
201802,경기도,육상운송,136889.0,0.0
201802,경기도,수상운송,9563.0,0.0
201802,경기도,렌터카,621197.0,0.0
201802,경기도,면세점,10954.0,0.0
201802,경기도,관광기념품,512037.0,0.0
201802,경기도,레저용품쇼핑,3.1685208E7,0.0
201802,경기도,대형쇼핑몰,2.19313322E8,0.0
201802,경기도,관광유원시설,957478.0,0.0
201802,경기도,골프장,1.1728213E7,0.0
201802,경기도,스키장,2950487.0,0.0
201802,경기도,기타레저,1.2573326E7,0.0
201802,경기도,문화서비스,5392397.0,0.0
201802,경기도,식음료,3.18089805E8,0.0
201803,경기도,총소비,7.52391852E8,0.0
201803,경기도,호텔,1303599.0,0.0
201803,경기도,콘도,417284.0,0.0
201803,경기도,캠핑장/펜션,51378.0,0.0
201803,경기도,기타숙박,1.4811897E7,0.0
201803,경기도,여행업,404497.0,0.0
201803,경기도,육상운송,233220.0,0.0
201803,경기도,수상운송,54258.0,0.0
201803,경기도,렌터카,705709.0,0.0
201803,경기도,면세점,15989.0,0.0
201803,경기도,관광기념품,739793.0,0.0
201803,경기도,레저용품쇼핑,4.5625164E7,0.0
201803,경기도,대형쇼핑몰,2.37985963E8,0.0
201803,경기도,관광유원시설,1512891.0,0.0
201803,경기도,골프장,3.8741275E7,0.0
201803,경기도,스키장,230012.0,0.0
201803,경기도,기타레저,1.5034734E7,0.0
201803,경기도,문화서비스,5544094.0,0.0
201803,경기도,식음료,3.88980094E8,0.0
201804,경기도,총소비,7.38265033E8,0.0
201804,경기도,콘도,447078.0,0.0
201804,경기도,호텔,1406160.0,0.0
201804,경기도,캠핑장/펜션,53887.0,0.0
201804,경기도,기타숙박,1.4296906E7,0.0
201804,경기도,여행업,328377.0,0.0
201804,경기도,육상운송,251712.0,0.0
201804,경기도,수상운송,86860.0,0.0
201804,경기도,렌터카,676086.0,0.0
201804,경기도,면세점,9426.0,0.0
201804,경기도,관광기념품,815629.0,0.0
201804,경기도,레저용품쇼핑,4.6077034E7,0.0
