대분류,중분류,대분류 지출액,대분류 지출액 비율,중분류 지출액,중분류 지출액 비율
쇼핑업,관광기념품,3.303031193E9,37.2,8528098.0,0.3
쇼핑업,대형쇼핑몰,3.303031193E9,37.2,2.784499888E9,84.3
쇼핑업,레저용품쇼핑,3.303031193E9,37.2,5.09870344E8,15.4
쇼핑업,면세점,3.303031193E9,37.2,132863.0,0.0
숙박업,기타숙박,2.02692778E8,2.3,1.7597745E8,86.8
숙박업,캠핑장/펜션,2.02692778E8,2.3,668680.0,0.3
숙박업,콘도,2.02692778E8,2.3,7674286.0,3.8
숙박업,호텔,2.02692778E8,2.3,1.8372363E7,9.1
식음료업,식음료,4.610808256E9,51.9,4.610808256E9,100.0
여가서비스업,골프장,7.58348291E8,8.5,4.52132916E8,59.6
여가서비스업,관광유원시설,7.58348291E8,8.5,1.7805682E7,2.3
여가서비스업,기타레저,7.58348291E8,8.5,1.78996554E8,23.6
여가서비스업,문화서비스,7.58348291E8,8.5,9.6863106E7,12.8
여가서비스업,스키장,7.58348291E8,8.5,1.2550033E7,1.7
여행업,여행업,3156378.0,0.0,3156378.0,100.0
운송업,렌터카,1.2225749E7,0.1,9190235.0,75.2
운송업,수상운송,1.2225749E7,0.1,727025.0,5.9
운송업,육상운송,1.2225749E7,0.1,2308489.0,18.9
