대분류,중분류,대분류 지출액,대분류 지출액 비율,중분류 지출액,중분류 지출액 비율
쇼핑업,관광기념품,4.51724244E8,28.5,2452459.0,0.5
쇼핑업,대형쇼핑몰,4.51724244E8,28.5,3.05341479E8,67.6
쇼핑업,레저용품쇼핑,4.51724244E8,28.5,1.43914084E8,31.9
쇼핑업,면세점,4.51724244E8,28.5,16222.0,0.0
숙박업,기타숙박,7.4252961E7,4.7,5.212112E7,70.2
숙박업,캠핑장/펜션,7.4252961E7,4.7,461033.0,0.6
숙박업,콘도,7.4252961E7,4.7,1.2218516E7,16.5
숙박업,호텔,7.4252961E7,4.7,9452291.0,12.7
식음료업,식음료,8.90304775E8,56.2,8.90304775E8,100.0
여가서비스업,골프장,1.64666667E8,10.4,1.15287459E8,70.0
여가서비스업,관광유원시설,1.64666667E8,10.4,4230309.0,2.6
여가서비스업,기타레저,1.64666667E8,10.4,3.0349922E7,18.4
여가서비스업,문화서비스,1.64666667E8,10.4,1.4798976E7,9.0
여행업,여행업,438928.0,0.0,438928.0,100.0
운송업,렌터카,3307347.0,0.2,419736.0,12.7
운송업,수상운송,3307347.0,0.2,1396116.0,42.2
운송업,육상운송,3307347.0,0.2,1485359.0,44.9
운송업,항공운송,3307347.0,0.2,6136.0,0.2
