기준년월,광역지자체,중분류,지출액,전년도 지출액
201801,경상북도,총소비,8.7209779E7,0.0
201801,경상북도,콘도,1060583.0,0.0
201801,경상북도,호텔,1101103.0,0.0
201801,경상북도,캠핑장/펜션,28878.0,0.0
201801,경상북도,기타숙박,2825485.0,0.0
201801,경상북도,여행업,25346.0,0.0
201801,경상북도,육상운송,43560.0,0.0
201801,경상북도,수상운송,34573.0,0.0
201801,경상북도,렌터카,26750.0,0.0
201801,경상북도,관광기념품,163985.0,0.0
201801,경상북도,레저용품쇼핑,1.066846E7,0.0
201801,경상북도,대형쇼핑몰,1.220857E7,0.0
201801,경상북도,관광유원시설,256511.0,0.0
201801,경상북도,골프장,3058885.0,0.0
201801,경상북도,기타레저,2139924.0,0.0
201801,경상북도,문화서비스,929367.0,0.0
201801,경상북도,식음료,5.26378E7,0.0
201802,경상북도,총소비,8.5431401E7,0.0
201802,경상북도,호텔,925107.0,0.0
201802,경상북도,콘도,840156.0,0.0
201802,경상북도,캠핑장/펜션,20235.0,0.0
201802,경상북도,기타숙박,2512878.0,0.0
201802,경상북도,여행업,25847.0,0.0
201802,경상북도,육상운송,36488.0,0.0
201802,경상북도,수상운송,35417.0,0.0
201802,경상북도,렌터카,33849.0,0.0
201802,경상북도,관광기념품,165767.0,0.0
201802,경상북도,레저용품쇼핑,1.0278306E7,0.0
201802,경상북도,대형쇼핑몰,1.370524E7,0.0
201802,경상북도,관광유원시설,207900.0,0.0
201802,경상북도,골프장,4825225.0,0.0
201802,경상북도,기타레저,1877449.0,0.0
201802,경상북도,문화서비스,667302.0,0.0
201802,경상북도,식음료,4.9274236E7,0.0
201803,경상북도,총소비,1.02838239E8,0.0
201803,경상북도,콘도,747094.0,0.0
201803,경상북도,호텔,982856.0,0.0
201803,경상북도,캠핑장/펜션,22149.0,0.0
201803,경상북도,기타숙박,3120956.0,0.0
201803,경상북도,여행업,24546.0,0.0
201803,경상북도,육상운송,26437.0,0.0
201803,경상북도,수상운송,28593.0,0.0
201803,경상북도,렌터카,32062.0,0.0
201803,경상북도,관광기념품,188626.0,0.0
201803,경상북도,레저용품쇼핑,1.3359579E7,0.0
201803,경상북도,대형쇼핑몰,1.2819616E7,0.0
201803,경상북도,관광유원시설,211499.0,0.0
201803,경상북도,골프장,8888821.0,0.0
201803,경상북도,기타레저,2090040.0,0.0
201803,경상북도,문화서비스,675808.0,0.0
201803,경상북도,식음료,5.9619558E7,0.0
201804,경상북도,총소비,1.06951753E8,0.0
201804,경상북도,콘도,1004506.0,0.0
201804,경상북도,호텔,1266186.0,0.0
201804,경상북도,캠핑장/펜션,29296.0,0.0
201804,경상북도,기타숙박,3182475.0,0.0
201804,경상북도,여행업,15845.0,0.0
201804,경상북도,육상운송,28068.0,0.0
201804,경상북도,수상운송,65309.0,0.0
201804,경상북도,렌터카,53914.0,0.0
201804,경상북도,관광기념품,276566.0,0.0
201804,경상북도,레저용품쇼핑,1.3064001E7,0.0
201804,경상북도,대형쇼핑몰,1.1908217E7,0.0
201804,경상북도,관광유원시설,283094.0,0.0
201804,경상북도,골프장,1.119302E7,0.0
201804,경상북도,기타레저,1933221.0,0.0
