대분류,중분류,대분류 지출액,대분류 지출액 비율,중분류 지출액,중분류 지출액 비율
쇼핑업,관광기념품,3.032838E8,24.2,2658088.0,0.9
쇼핑업,대형쇼핑몰,3.032838E8,24.2,1.5422231E8,50.9
쇼핑업,레저용품쇼핑,3.032838E8,24.2,1.46403402E8,48.3
숙박업,기타숙박,6.6252463E7,5.3,3.8243036E7,57.7
숙박업,캠핑장/펜션,6.6252463E7,5.3,363217.0,0.5
숙박업,콘도,6.6252463E7,5.3,1.3199235E7,19.9
숙박업,호텔,6.6252463E7,5.3,1.4446976E7,21.8
식음료업,식음료,7.22917114E8,57.8,7.22917114E8,100.0
여가서비스업,골프장,1.5657758E8,12.5,1.14893389E8,73.4
여가서비스업,관광유원시설,1.5657758E8,12.5,3936492.0,2.5
여가서비스업,기타레저,1.5657758E8,12.5,2.6595946E7,17.0
여가서비스업,문화서비스,1.5657758E8,12.5,1.1151753E7,7.1
여행업,여행업,364095.0,0.0,364095.0,100.0
운송업,렌터카,1580867.0,0.1,574967.0,36.4
운송업,수상운송,1580867.0,0.1,638278.0,40.4
운송업,육상운송,1580867.0,0.1,367622.0,23.3
