기준년월,광역지자체,중분류,지출액,전년도 지출액
201801,대전광역시,총소비,1.13374687E8,0.0
201801,대전광역시,콘도,226.0,0.0
201801,대전광역시,호텔,528373.0,0.0
201801,대전광역시,캠핑장/펜션,130.0,0.0
201801,대전광역시,기타숙박,1544589.0,0.0
201801,대전광역시,여행업,27083.0,0.0
201801,대전광역시,육상운송,4.3216957E7,0.0
201801,대전광역시,렌터카,15638.0,0.0
201801,대전광역시,면세점,14670.0,0.0
201801,대전광역시,관광기념품,69198.0,0.0
201801,대전광역시,레저용품쇼핑,3784105.0,0.0
201801,대전광역시,대형쇼핑몰,2.0938069E7,0.0
201801,대전광역시,관광유원시설,56458.0,0.0
201801,대전광역시,골프장,527725.0,0.0
201801,대전광역시,기타레저,1028183.0,0.0
201801,대전광역시,문화서비스,799045.0,0.0
201801,대전광역시,식음료,4.0824238E7,0.0
201802,대전광역시,총소비,1.02813065E8,0.0
201802,대전광역시,호텔,430268.0,0.0
201802,대전광역시,콘도,885.0,0.0
201802,대전광역시,캠핑장/펜션,100.0,0.0
201802,대전광역시,기타숙박,1365988.0,0.0
201802,대전광역시,여행업,18598.0,0.0
201802,대전광역시,육상운송,3.654882E7,0.0
201802,대전광역시,렌터카,15683.0,0.0
201802,대전광역시,면세점,4978.0,0.0
201802,대전광역시,관광기념품,87294.0,0.0
201802,대전광역시,레저용품쇼핑,3462080.0,0.0
201802,대전광역시,대형쇼핑몰,2.194144E7,0.0
201802,대전광역시,관광유원시설,47553.0,0.0
201802,대전광역시,골프장,562030.0,0.0
201802,대전광역시,기타레저,866941.0,0.0
201802,대전광역시,문화서비스,546511.0,0.0
201802,대전광역시,식음료,3.6913894E7,0.0
201803,대전광역시,총소비,1.16584571E8,0.0
201803,대전광역시,콘도,1341.0,0.0
201803,대전광역시,호텔,680933.0,0.0
201803,대전광역시,캠핑장/펜션,0.0,0.0
201803,대전광역시,기타숙박,1577983.0,0.0
201803,대전광역시,여행업,33584.0,0.0
201803,대전광역시,육상운송,3.8821438E7,0.0
201803,대전광역시,렌터카,16207.0,0.0
201803,대전광역시,면세점,0.0,0.0
201803,대전광역시,관광기념품,90722.0,0.0
201803,대전광역시,레저용품쇼핑,4425959.0,0.0
201803,대전광역시,대형쇼핑몰,2.3374622E7,0.0
201803,대전광역시,관광유원시설,188991.0,0.0
201803,대전광역시,골프장,801491.0,0.0
201803,대전광역시,기타레저,1077151.0,0.0
201803,대전광역시,문화서비스,473309.0,0.0
201803,대전광역시,식음료,4.5020841E7,0.0
201804,대전광역시,총소비,1.13552411E8,0.0
201804,대전광역시,콘도,1242.0,0.0
201804,대전광역시,호텔,431642.0,0.0
201804,대전광역시,기타숙박,1551275.0,0.0
201804,대전광역시,여행업,17960.0,0.0
201804,대전광역시,육상운송,3.9993313E7,0.0
201804,대전광역시,렌터카,14217.0,0.0
201804,대전광역시,관광기념품,111343.0,0.0
201804,대전광역시,레저용품쇼핑,4322931.0,0.0
201804,대전광역시,대형쇼핑몰,2.0880505E7,0.0
201804,대전광역시,관광유원시설,188651.0,0.0
201804,대전광역시,골프장,912265.0,0.0
201804,대전광역시,기타레저,955438.0,0.0
201804,대전광역시,문화서비스,568414.0,0.0
201804,대전광역시,식음료,4.3603215E7,0.0
201805,대전광역시,총소비,1.19036366E8,0.0
201805,대전광역시,콘도,655.0,0.0
201805,대전광역시,호텔,421492.0,0.0
201805,대전광역시,캠핑장/펜션,550.0,0.0
201805,대전광역시,기타숙박,1494438.0,0.0
201805,대전광역시,여행업,43524.0,0.0
201805,대전광역시,육상운송,4.096818E7,0.0
201805,대전광역시,렌터카,18550.0,0.0
201805,대전광역시,관광기념품,119807.0,0.0
201805,대전광역시,레저용품쇼핑,4531370.0,0.0
201805,대전광역시,대형쇼핑몰,2.2807871E7,0.0
201805,대전광역시,관광유원시설,254432.0,0.0
201805,대전광역시,골프장,1001092.0,0.0
201805,대전광역시,기타레저,946036.0,0.0
201805,대전광역시,문화서비스,658545.0,0.0
201805,대전광역시,식음료,4.5769823E7,0.0
201806,대전광역시,총소비,1.10004923E8,0.0
201806,대전광역시,호텔,404258.0,0.0
201806,대전광역시,콘도,612.0,0.0
201806,대전광역시,캠핑장/펜션,0.0,0.0
201806,대전광역시,기타숙박,1444575.0,0.0
201806,대전광역시,여행업,15387.0,0.0
201806,대전광역시,육상운송,3.7044006E7,0.0
201806,대전광역시,렌터카,14797.0,0.0
201806,대전광역시,관광기념품,84377.0,0.0
201806,대전광역시,레저용품쇼핑,3861038.0,0.0
201806,대전광역시,대형쇼핑몰,2.0796983E7,0.0
201806,대전광역시,관광유원시설,169975.0,0.0
201806,대전광역시,골프장,999483.0,0.0
201806,대전광역시,기타레저,929344.0,0.0
201806,대전광역시,문화서비스,609460.0,0.0
201806,대전광역시,식음료,4.3630628E7,0.0
201807,대전광역시,총소비,1.14731239E8,0.0
201807,대전광역시,콘도,1268.0,0.0
201807,대전광역시,호텔,427967.0,0.0
201807,대전광역시,캠핑장/펜션,200.0,0.0
201807,대전광역시,기타숙박,1479223.0,0.0
201807,대전광역시,여행업,20061.0,0.0
201807,대전광역시,육상운송,4.104821E7,0.0
201807,대전광역시,렌터카,28239.0,0.0
201807,대전광역시,관광기념품,77979.0,0.0
201807,대전광역시,레저용품쇼핑,3379973.0,0.0
201807,대전광역시,대형쇼핑몰,2.2387657E7,0.0
201807,대전광역시,관광유원시설,75404.0,0.0
201807,대전광역시,골프장,786882.0,0.0
201807,대전광역시,기타레저,1032605.0,0.0
201807,대전광역시,문화서비스,785729.0,0.0
201807,대전광역시,식음료,4.3199841E7,0.0
201808,대전광역시,총소비,1.15560634E8,0.0
201808,대전광역시,콘도,254.0,0.0
201808,대전광역시,호텔,391465.0,0.0
201808,대전광역시,캠핑장/펜션,0.0,0.0
201808,대전광역시,기타숙박,1555346.0,0.0
201808,대전광역시,여행업,57308.0,0.0
201808,대전광역시,육상운송,4.3200106E7,0.0
201808,대전광역시,렌터카,20733.0,0.0
201808,대전광역시,관광기념품,93417.0,0.0
201808,대전광역시,레저용품쇼핑,2776945.0,0.0
201808,대전광역시,대형쇼핑몰,2.0757229E7,0.0
201808,대전광역시,관광유원시설,90273.0,0.0
201808,대전광역시,골프장,707409.0,0.0
201808,대전광역시,기타레저,991084.0,0.0
201808,대전광역시,문화서비스,1078253.0,0.0
201808,대전광역시,식음료,4.3840815E7,0.0
201809,대전광역시,총소비,1.14224794E8,0.0
201809,대전광역시,콘도,1249.0,0.0
201809,대전광역시,호텔,408982.0,0.0
201809,대전광역시,기타숙박,1382682.0,0.0
201809,대전광역시,여행업,23942.0,0.0
201809,대전광역시,육상운송,3.991037E7,0.0
201809,대전광역시,렌터카,17283.0,0.0
201809,대전광역시,관광기념품,86182.0,0.0
201809,대전광역시,레저용품쇼핑,3717566.0,0.0
201809,대전광역시,대형쇼핑몰,2.3667727E7,0.0
201809,대전광역시,관광유원시설,138232.0,0.0
201809,대전광역시,골프장,957705.0,0.0
201809,대전광역시,기타레저,954401.0,0.0
201809,대전광역시,문화서비스,640660.0,0.0
201809,대전광역시,식음료,4.2317812E7,0.0
201810,대전광역시,총소비,1.15967041E8,0.0
201810,대전광역시,콘도,1079.0,0.0
201810,대전광역시,호텔,439418.0,0.0
201810,대전광역시,기타숙박,1430874.0,0.0
201810,대전광역시,여행업,36805.0,0.0
201810,대전광역시,육상운송,4.263628E7,0.0
201810,대전광역시,렌터카,21032.0,0.0
201810,대전광역시,관광기념품,90398.0,0.0
201810,대전광역시,레저용품쇼핑,4649767.0,0.0
201810,대전광역시,대형쇼핑몰,2.1773613E7,0.0
201810,대전광역시,관광유원시설,124783.0,0.0
201810,대전광역시,골프장,977044.0,0.0
201810,대전광역시,기타레저,962617.0,0.0
201810,대전광역시,문화서비스,536591.0,0.0
201810,대전광역시,식음료,4.2286741E7,0.0
201811,대전광역시,총소비,1.14815687E8,0.0
201811,대전광역시,콘도,852.0,0.0
201811,대전광역시,호텔,491893.0,0.0
201811,대전광역시,캠핑장/펜션,550.0,0.0
201811,대전광역시,기타숙박,1468560.0,0.0
201811,대전광역시,여행업,28872.0,0.0
201811,대전광역시,육상운송,4.2625411E7,0.0
201811,대전광역시,렌터카,14899.0,0.0
201811,대전광역시,관광기념품,89923.0,0.0
201811,대전광역시,레저용품쇼핑,4134477.0,0.0
201811,대전광역시,대형쇼핑몰,2.2075297E7,0.0
201811,대전광역시,관광유원시설,66606.0,0.0
201811,대전광역시,골프장,866002.0,0.0
201811,대전광역시,기타레저,936271.0,0.0
201811,대전광역시,문화서비스,638199.0,0.0
201811,대전광역시,식음료,4.1377877E7,0.0
201812,대전광역시,총소비,1.21406049E8,0.0
201812,대전광역시,호텔,699334.0,0.0
201812,대전광역시,콘도,1032.0,0.0
201812,대전광역시,캠핑장/펜션,380.0,0.0
201812,대전광역시,기타숙박,1534490.0,0.0
201812,대전광역시,여행업,38684.0,0.0
201812,대전광역시,육상운송,4.1209686E7,0.0
201812,대전광역시,렌터카,25116.0,0.0
201812,대전광역시,관광기념품,108622.0,0.0
201812,대전광역시,레저용품쇼핑,3941242.0,0.0
201812,대전광역시,대형쇼핑몰,2.4645907E7,0.0
201812,대전광역시,관광유원시설,66913.0,0.0
201812,대전광역시,골프장,559476.0,0.0
201812,대전광역시,기타레저,1023590.0,0.0
201812,대전광역시,문화서비스,775475.0,0.0
201812,대전광역시,식음료,4.6776102E7,0.0
