기준년월,광역지자체,중분류,지출액,전년도 지출액
201801,서울특별시,총소비,1.028847622E9,0.0
201801,서울특별시,콘도,393604.0,0.0
201801,서울특별시,호텔,2.1741691E7,0.0
201801,서울특별시,캠핑장/펜션,1125.0,0.0
201801,서울특별시,기타숙박,1.3378105E7,0.0
201801,서울특별시,여행업,1.9065055E7,0.0
201801,서울특별시,육상운송,4.0835529E7,0.0
201801,서울특별시,수상운송,1539378.0,0.0
201801,서울특별시,항공운송,4.9313515E7,0.0
201801,서울특별시,렌터카,1372846.0,0.0
201801,서울특별시,면세점,1.1541861E7,0.0
201801,서울특별시,관광기념품,1093624.0,0.0
201801,서울특별시,레저용품쇼핑,3.7172607E7,0.0
201801,서울특별시,대형쇼핑몰,2.25273588E8,0.0
201801,서울특별시,관광유원시설,2753714.0,0.0
201801,서울특별시,골프장,3749530.0,0.0
201801,서울특별시,스키장,659555.0,0.0
201801,서울특별시,기타레저,1.3588438E7,0.0
201801,서울특별시,문화서비스,2.5070264E7,0.0
201801,서울특별시,식음료,5.60303593E8,0.0
201802,서울특별시,총소비,9.54274603E8,0.0
201802,서울특별시,호텔,1.891112E7,0.0
201802,서울특별시,콘도,152556.0,0.0
201802,서울특별시,캠핑장/펜션,1402.0,0.0
201802,서울특별시,기타숙박,1.1856142E7,0.0
201802,서울특별시,여행업,1.5928195E7,0.0
201802,서울특별시,육상운송,3.6767843E7,0.0
201802,서울특별시,수상운송,1638239.0,0.0
201802,서울특별시,항공운송,3.9365126E7,0.0
201802,서울특별시,렌터카,1392638.0,0.0
201802,서울특별시,면세점,9556977.0,0.0
201802,서울특별시,관광기념품,1120881.0,0.0
201802,서울특별시,레저용품쇼핑,3.81811E7,0.0
201802,서울특별시,대형쇼핑몰,2.38329046E8,0.0
201802,서울특별시,관광유원시설,2833935.0,0.0
201802,서울특별시,골프장,3800763.0,0.0
201802,서울특별시,스키장,484692.0,0.0
201802,서울특별시,기타레저,1.215738E7,0.0
201802,서울특별시,문화서비스,1.8568287E7,0.0
201802,서울특별시,식음료,5.03228281E8,0.0
201803,서울특별시,총소비,1.0969944E9,0.0
201803,서울특별시,호텔,2.0212195E7,0.0
201803,서울특별시,콘도,162797.0,0.0
201803,서울특별시,캠핑장/펜션,1395.0,0.0
201803,서울특별시,기타숙박,1.3449524E7,0.0
201803,서울특별시,여행업,1.5577822E7,0.0
201803,서울특별시,육상운송,3.9419554E7,0.0
201803,서울특별시,수상운송,2179466.0,0.0
201803,서울특별시,항공운송,4.5176279E7,0.0
201803,서울특별시,렌터카,1282900.0,0.0
201803,서울특별시,면세점,7600884.0,0.0
201803,서울특별시,관광기념품,1324979.0,0.0
201803,서울특별시,레저용품쇼핑,5.2113367E7,0.0
201803,서울특별시,대형쇼핑몰,2.47036832E8,0.0
201803,서울특별시,관광유원시설,3389751.0,0.0
201803,서울특별시,골프장,6577646.0,0.0
