기초지자체 명,기초지자체 지출액,기초지자체 지출액 비율
강남구,1.737273793E9,13.6
강동구,2.49449602E8,1.9
강북구,1.76272588E8,1.4
강서구,8.61276131E8,6.7
관악구,3.13930215E8,2.4
광진구,3.49071152E8,2.7
구로구,4.92685251E8,3.8
금천구,3.73525485E8,2.9
노원구,2.87949257E8,2.2
도봉구,1.28702075E8,1.0
동대문구,2.48466764E8,1.9
동작구,2.32687369E8,1.8
마포구,6.59327911E8,5.1
서대문구,3.07514811E8,2.4
서초구,1.18318956E9,9.2
성동구,3.12533388E8,2.4
성북구,1.98245831E8,1.5
송파구,7.94383717E8,6.2
양천구,2.15878619E8,1.7
영등포구,6.39748896E8,5.0
용산구,5.31646966E8,4.1
은평구,2.09808928E8,1.6
종로구,6.94978335E8,5.4
중구,1.460638666E9,11.4
중랑구,1.56705643E8,1.2
