대분류,중분류,대분류 지출액,대분류 지출액 비율,중분류 지출액,중분류 지출액 비율
쇼핑업,관광기념품,1.7885824E7,19.3,49330.0,0.3
쇼핑업,대형쇼핑몰,1.7885824E7,19.3,1.4115576E7,78.9
쇼핑업,레저용품쇼핑,1.7885824E7,19.3,3720917.0,20.8
숙박업,기타숙박,1374555.0,1.5,1369214.0,99.6
숙박업,캠핑장/펜션,1374555.0,1.5,5341.0,0.4
식음료업,식음료,6.5804088E7,71.0,6.5804088E7,100.0
여가서비스업,골프장,7570745.0,8.2,4688557.0,61.9
여가서비스업,관광유원시설,7570745.0,8.2,66268.0,0.9
여가서비스업,기타레저,7570745.0,8.2,1808075.0,23.9
여가서비스업,문화서비스,7570745.0,8.2,1007844.0,13.3
여행업,여행업,2073.0,0.0,2073.0,100.0
운송업,렌터카,4472.0,0.0,4376.0,97.9
운송업,육상운송,4472.0,0.0,96.0,2.1
