대분류,중분류,대분류 지출액,대분류 지출액 비율,중분류 지출액,중분류 지출액 비율
쇼핑업,관광기념품,1.81929286E8,29.6,508100.0,0.3
쇼핑업,대형쇼핑몰,1.81929286E8,29.6,1.38533252E8,76.1
쇼핑업,레저용품쇼핑,1.81929286E8,29.6,4.2755972E7,23.5
쇼핑업,면세점,1.81929286E8,29.6,131961.0,0.1
숙박업,기타숙박,2.1383939E7,3.5,1.6173861E7,75.6
숙박업,캠핑장/펜션,2.1383939E7,3.5,29450.0,0.1
숙박업,호텔,2.1383939E7,3.5,5180627.0,24.2
식음료업,식음료,3.76818159E8,61.2,3.76818159E8,100.0
여가서비스업,골프장,3.3945779E7,5.5,1.788989E7,52.7
여가서비스업,관광유원시설,3.3945779E7,5.5,386001.0,1.1
여가서비스업,기타레저,3.3945779E7,5.5,1.112541E7,32.8
여가서비스업,문화서비스,3.3945779E7,5.5,4544478.0,13.4
여행업,여행업,492210.0,0.1,492210.0,100.0
운송업,렌터카,851094.0,0.1,275963.0,32.4
운송업,수상운송,851094.0,0.1,3550.0,0.4
운송업,육상운송,851094.0,0.1,489834.0,57.6
운송업,항공운송,851094.0,0.1,81747.0,9.6
