대분류,중분류,대분류 지출액,대분류 지출액 비율,중분류 지출액,중분류 지출액 비율
쇼핑업,관광기념품,9.77960393E8,42.9,1279196.0,0.1
쇼핑업,대형쇼핑몰,9.77960393E8,42.9,4.977988E8,50.9
쇼핑업,레저용품쇼핑,9.77960393E8,42.9,1.29722795E8,13.3
쇼핑업,면세점,9.77960393E8,42.9,3.49159601E8,35.7
숙박업,기타숙박,6.83226E7,3.0,4.6755605E7,68.4
숙박업,캠핑장/펜션,6.83226E7,3.0,276106.0,0.4
숙박업,호텔,6.83226E7,3.0,2.1290888E7,31.2
식음료업,식음료,1.100138816E9,48.3,1.100138816E9,100.0
여가서비스업,골프장,9.8708878E7,4.3,4.7614763E7,48.2
여가서비스업,관광유원시설,9.8708878E7,4.3,1603353.0,1.6
여가서비스업,기타레저,9.8708878E7,4.3,3.134115E7,31.8
여가서비스업,문화서비스,9.8708878E7,4.3,1.8149106E7,18.4
여가서비스업,카지노,9.8708878E7,4.3,507.0,0.0
여행업,여행업,645806.0,0.0,645806.0,100.0
운송업,렌터카,3.1881228E7,1.4,689293.0,2.2
운송업,수상운송,3.1881228E7,1.4,1.1242724E7,35.3
운송업,육상운송,3.1881228E7,1.4,953990.0,3.0
운송업,항공운송,3.1881228E7,1.4,1.8995222E7,59.6
