기준년월,광역지자체,대분류,지출액,전년도 지출액
201801,전국,총소비,3.143521557E9,0.0
201801,전국,콘도,2.3317832E7,0.0
201801,전국,호텔,4.1665708E7,0.0
201801,전국,캠핑장/펜션,267956.0,0.0
201801,전국,기타숙박,6.7423935E7,0.0
201801,전국,여행업,2.0393343E7,0.0
201801,전국,육상운송,8.4582744E7,0.0
201801,전국,수상운송,2359130.0,0.0
201801,전국,항공운송,6.4927862E7,0.0
201801,전국,렌터카,4117106.0,0.0
201801,전국,면세점,6.2264092E7,0.0
201801,전국,관광기념품,4723330.0,0.0
201801,전국,레저용품쇼핑,1.76406167E8,0.0
201801,전국,대형쇼핑몰,7.7039359E8,0.0
201801,전국,관광유원시설,6662306.0,0.0
201801,전국,골프장,3.5429908E7,0.0
201801,전국,스키장,6328161.0,0.0
201801,전국,기타레저,4.8947189E7,0.0
201801,전국,문화서비스,4.8162156E7,0.0
201801,전국,식음료,1.675149043E9,0.0
201802,전국,총소비,2.975469634E9,0.0
201802,전국,콘도,1.6927386E7,0.0
201802,전국,호텔,3.470773E7,0.0
201802,전국,캠핑장/펜션,233194.0,0.0
201802,전국,기타숙박,6.0658659E7,0.0
201802,전국,여행업,1.7045625E7,0.0
201802,전국,육상운송,7.3796648E7,0.0
201802,전국,수상운송,2485802.0,0.0
201802,전국,항공운송,5.0642533E7,0.0
201802,전국,렌터카,3971985.0,0.0
201802,전국,면세점,5.4691814E7,0.0
201802,전국,관광기념품,4359827.0,0.0
201802,전국,레저용품쇼핑,1.6939689E8,0.0
201802,전국,대형쇼핑몰,8.22689433E8,0.0
201802,전국,카지노,507.0,0.0
201802,전국,관광유원시설,6306909.0,0.0
201802,전국,골프장,4.591883E7,0.0
201802,전국,스키장,4283018.0,0.0
201802,전국,기타레저,4.5433906E7,0.0
201802,전국,문화서비스,3.5446866E7,0.0
201802,전국,식음료,1.526472071E9,0.0
201803,전국,총소비,3.450210475E9,0.0
201803,전국,호텔,3.5985483E7,0.0
201803,전국,콘도,9888861.0,0.0
201803,전국,캠핑장/펜션,281867.0,0.0
201803,전국,기타숙박,6.9247692E7,0.0
201803,전국,여행업,1.7280486E7,0.0
