대분류,중분류,대분류 지출액,대분류 지출액 비율,중분류 지출액,중분류 지출액 비율
쇼핑업,관광기념품,2.0394644E8,24.7,1439770.0,0.7
쇼핑업,대형쇼핑몰,2.0394644E8,24.7,1.15353779E8,56.6
쇼핑업,레저용품쇼핑,2.0394644E8,24.7,8.6710247E7,42.5
쇼핑업,면세점,2.0394644E8,24.7,442645.0,0.2
숙박업,기타숙박,4.9759167E7,6.0,3.8037541E7,76.4
숙박업,캠핑장/펜션,4.9759167E7,6.0,317396.0,0.6
숙박업,콘도,4.9759167E7,6.0,6725354.0,13.5
숙박업,호텔,4.9759167E7,6.0,4678876.0,9.4
식음료업,식음료,4.65724888E8,56.5,4.65724888E8,100.0
여가서비스업,골프장,1.01739381E8,12.3,6.9509346E7,68.3
여가서비스업,관광유원시설,1.01739381E8,12.3,8413603.0,8.3
여가서비스업,기타레저,1.01739381E8,12.3,1.0092634E7,9.9
여가서비스업,문화서비스,1.01739381E8,12.3,1.3723798E7,13.5
여행업,여행업,606763.0,0.1,606763.0,100.0
운송업,렌터카,2371932.0,0.3,728475.0,30.7
운송업,수상운송,2371932.0,0.3,1098003.0,46.3
운송업,육상운송,2371932.0,0.3,463465.0,19.5
운송업,항공운송,2371932.0,0.3,81989.0,3.5
