대분류,중분류,대분류 지출액,대분류 지출액 비율,중분류 지출액,중분류 지출액 비율
쇼핑업,관광기념품,2.83694194E8,28.0,1360340.0,0.5
쇼핑업,대형쇼핑몰,2.83694194E8,28.0,1.85697566E8,65.5
쇼핑업,레저용품쇼핑,2.83694194E8,28.0,9.6141669E7,33.9
쇼핑업,면세점,2.83694194E8,28.0,494619.0,0.2
숙박업,기타숙박,3.6906483E7,3.6,2.6480553E7,71.8
숙박업,캠핑장/펜션,3.6906483E7,3.6,130949.0,0.4
숙박업,콘도,3.6906483E7,3.6,7252975.0,19.7
숙박업,호텔,3.6906483E7,3.6,3042005.0,8.2
식음료업,식음료,5.85080526E8,57.8,5.85080526E8,100.0
여가서비스업,골프장,1.04271166E8,10.3,8.3587565E7,80.2
여가서비스업,관광유원시설,1.04271166E8,10.3,1647656.0,1.6
여가서비스업,기타레저,1.04271166E8,10.3,1.0688781E7,10.3
여가서비스업,문화서비스,1.04271166E8,10.3,8347164.0,8.0
여행업,여행업,610338.0,0.1,610338.0,100.0
운송업,렌터카,1650191.0,0.2,337873.0,20.5
운송업,수상운송,1650191.0,0.2,709974.0,43.0
운송업,육상운송,1650191.0,0.2,126989.0,7.7
운송업,항공운송,1650191.0,0.2,475355.0,28.8
