기초지자체 명,기초지자체 지출액,기초지자체 지출액 비율
가평군,9.5952653E7,1.1
고양시 덕양구,2.97280386E8,3.3
고양시 일산동구,3.13509308E8,3.5
고양시 일산서구,2.12812982E8,2.4
과천시,4.2891869E7,0.5
광명시,1.8126886E8,2.0
광주시,1.71801981E8,1.9
구리시,1.47355521E8,1.6
군포시,1.14720344E8,1.3
김포시,3.0449821E8,3.4
남양주시,2.38160066E8,2.6
동두천시,3.5333016E7,0.4
부천시,2.92612248E8,3.2
성남시 분당구,6.92474906E8,7.7
성남시 수정구,1.55548325E8,1.7
성남시 중원구,1.09203683E8,1.2
수원시 권선구,2.20989731E8,2.4
수원시 영통구,2.47242308E8,2.7
수원시 장안구,1.18122411E8,1.3
수원시 팔달구,4.90481983E8,5.4
시흥시,2.88937108E8,3.2
안산시 단원구,3.13190155E8,3.5
안산시 상록구,1.52333846E8,1.7
안성시,1.33707846E8,1.5
안양시 동안구,3.28002919E8,3.6
안양시 만안구,1.16424683E8,1.3
양주시,9.6279056E7,1.1
양평군,7.9248092E7,0.9
여주시,2.60733068E8,2.9
연천군,1.9436357E7,0.2
오산시,1.22742575E8,1.4
용인시 기흥구,3.19929419E8,3.5
용인시 수지구,2.159769E8,2.4
용인시 처인구,2.28675613E8,2.5
의왕시,8.1637453E7,0.9
의정부시,2.23021566E8,2.5
이천시,2.32134092E8,2.6
파주시,3.01153686E8,3.3
평택시,2.32997059E8,2.6
포천시,1.31151722E8,1.5
하남시,2.88280587E8,3.2
화성시,3.79575095E8,4.2
