기초지자체 명,기초지자체 지출액,기초지자체 지출액 비율
경산시,1.38723099E8,11.3
경주시,2.13910708E8,17.4
고령군,9339716.0,0.8
구미시,1.44583344E8,11.8
군위군,1.7055314E7,1.4
김천시,4.763705E7,3.9
문경시,3.3761957E7,2.8
봉화군,4916072.0,0.4
상주시,2.8682421E7,2.3
성주군,1.0417353E7,0.8
안동시,7.0491013E7,5.7
영덕군,2.7038571E7,2.2
영양군,1336935.0,0.1
영주시,3.460839E7,2.8
영천시,3.5809835E7,2.9
예천군,1.3844168E7,1.1
울릉군,6203813.0,0.5
울진군,2.3252517E7,1.9
의성군,1.4442766E7,1.2
청도군,2.818738E7,2.3
청송군,9753762.0,0.8
칠곡군,6.1293875E7,5.0
포항시 남구,1.12312189E8,9.2
포항시 북구,1.38970726E8,11.3
