광역지자체 명,기초지자체 명,광역지자체 지출액,광역지자체 지출액 비율,기초지자체 지출액,기초지자체 지출액 비율
강원도,강릉시,1.217194404E9,3.0,2.01201119408E11,16.5
강원도,고성군,1.217194404E9,3.0,3.8341613539E10,3.1
강원도,동해시,1.217194404E9,3.0,4.4992471953E10,3.7
강원도,삼척시,1.217194404E9,3.0,5.4497983706E10,4.5
강원도,속초시,1.217194404E9,3.0,1.5737539277E11,12.9
강원도,양구군,1.217194404E9,3.0,8.130963473E9,0.7
강원도,양양군,1.217194404E9,3.0,4.3082190652E10,3.5
강원도,영월군,1.217194404E9,3.0,1.3328165703E10,1.1
강원도,원주시,1.217194404E9,3.0,1.6457097846E11,13.5
강원도,인제군,1.217194404E9,3.0,2.4485203871E10,2.0
강원도,정선군,1.217194404E9,3.0,3.9760062921E10,3.3
강원도,철원군,1.217194404E9,3.0,1.7915322564E10,1.5
강원도,춘천시,1.217194404E9,3.0,1.75382380704E11,14.4
강원도,태백시,1.217194404E9,3.0,2.2536649907E10,1.9
강원도,평창군,1.217194404E9,3.0,7.5601184238E10,6.2
강원도,홍천군,1.217194404E9,3.0,8.967498291E10,7.4
강원도,화천군,1.217194404E9,3.0,1.1651591001E10,1.0
강원도,횡성군,1.217194404E9,3.0,3.4666146276E10,2.8
경기도,가평군,9.027829686E9,22.2,9.5952652515E10,1.1
경기도,고양시 덕양구,9.027829686E9,22.2,2.97280386347E11,3.3
경기도,고양시 일산동구,9.027829686E9,22.2,3.13509307728E11,3.5
경기도,고양시 일산서구,9.027829686E9,22.2,2.1281298248E11,2.4
경기도,과천시,9.027829686E9,22.2,4.2891868958E10,0.5
경기도,광명시,9.027829686E9,22.2,1.81268859975E11,2.0
경기도,광주시,9.027829686E9,22.2,1.71801981323E11,1.9
경기도,구리시,9.027829686E9,22.2,1.47355520901E11,1.6
경기도,군포시,9.027829686E9,22.2,1.14720344263E11,1.3
경기도,김포시,9.027829686E9,22.2,3.04498210279E11,3.4
경기도,남양주시,9.027829686E9,22.2,2.3816006583E11,2.6
경기도,동두천시,9.027829686E9,22.2,3.5333015787E10,0.4
경기도,부천시,9.027829686E9,22.2,2.92612248108E11,3.2
경기도,성남시 분당구,9.027829686E9,22.2,6.92474906292E11,7.7
경기도,성남시 수정구,9.027829686E9,22.2,1.55548324818E11,1.7
경기도,성남시 중원구,9.027829686E9,22.2,1.09203682713E11,1.2
경기도,수원시 권선구,9.027829686E9,22.2,2.20989730861E11,2.4
경기도,수원시 영통구,9.027829686E9,22.2,2.4724230826E11,2.7
경기도,수원시 장안구,9.027829686E9,22.2,1.18122410517E11,1.3
경기도,수원시 팔달구,9.027829686E9,22.2,4.90481982926E11,5.4
경기도,시흥시,9.027829686E9,22.2,2.88937108302E11,3.2
경기도,안산시 단원구,9.027829686E9,22.2,3.13190154661E11,3.5
경기도,안산시 상록구,9.027829686E9,22.2,1.52333846402E11,1.7
경기도,안성시,9.027829686E9,22.2,1.33707845858E11,1.5
경기도,안양시 동안구,9.027829686E9,22.2,3.28002918553E11,3.6
경기도,안양시 만안구,9.027829686E9,22.2,1.16424682988E11,1.3
경기도,양주시,9.027829686E9,22.2,9.6279055682E10,1.1
경기도,양평군,9.027829686E9,22.2,7.9248091979E10,0.9
경기도,여주시,9.027829686E9,22.2,2.60733068076E11,2.9
경기도,연천군,9.027829686E9,22.2,1.9436357135E10,0.2
경기도,오산시,9.027829686E9,22.2,1.22742574949E11,1.4
경기도,용인시 기흥구,9.027829686E9,22.2,3.1992941873E11,3.5
