대분류,중분류,대분류 지출액,대분류 지출액 비율,중분류 지출액,중분류 지출액 비율
쇼핑업,관광기념품,2.36164946E8,27.2,2313956.0,1.0
쇼핑업,대형쇼핑몰,2.36164946E8,27.2,1.3716186E8,58.1
쇼핑업,레저용품쇼핑,2.36164946E8,27.2,9.6676138E7,40.9
쇼핑업,면세점,2.36164946E8,27.2,12991.0,0.0
숙박업,기타숙박,4.082791E7,4.7,2.7585737E7,67.6
숙박업,캠핑장/펜션,4.082791E7,4.7,204526.0,0.5
숙박업,콘도,4.082791E7,4.7,1.2160495E7,29.8
숙박업,호텔,4.082791E7,4.7,877153.0,2.1
식음료업,식음료,4.93043079E8,56.7,4.93043079E8,100.0
여가서비스업,골프장,6.9966587E7,8.1,4.5656311E7,65.3
여가서비스업,관광유원시설,6.9966587E7,8.1,1562446.0,2.2
여가서비스업,기타레저,6.9966587E7,8.1,1.3557824E7,19.4
여가서비스업,문화서비스,6.9966587E7,8.1,9190006.0,13.1
여행업,여행업,275119.0,0.0,275119.0,100.0
운송업,렌터카,2.8802366E7,3.3,273165.0,0.9
운송업,수상운송,2.8802366E7,3.3,150060.0,0.5
운송업,육상운송,2.8802366E7,3.3,41009.0,0.1
운송업,항공운송,2.8802366E7,3.3,2.8338133E7,98.4
