대분류,중분류,대분류 지출액,대분류 지출액 비율,중분류 지출액,중분류 지출액 비율
쇼핑업,관광기념품,1.64751662E8,15.2,2870202.0,1.7
쇼핑업,대형쇼핑몰,1.64751662E8,15.2,8.0011804E7,48.6
쇼핑업,레저용품쇼핑,1.64751662E8,15.2,8.1807152E7,49.7
쇼핑업,면세점,1.64751662E8,15.2,62504.0,0.0
숙박업,기타숙박,1.50449849E8,13.8,5.3982305E7,35.9
숙박업,캠핑장/펜션,1.50449849E8,13.8,1605664.0,1.1
숙박업,콘도,1.50449849E8,13.8,6.547928E7,43.5
숙박업,호텔,1.50449849E8,13.8,2.9382599E7,19.5
식음료업,식음료,6.05122732E8,55.7,6.05122732E8,100.0
여가서비스업,골프장,1.64116756E8,15.1,1.4057736E8,85.7
여가서비스업,관광유원시설,1.64116756E8,15.1,4308819.0,2.6
여가서비스업,기타레저,1.64116756E8,15.1,4769609.0,2.9
여가서비스업,문화서비스,1.64116756E8,15.1,1.0703202E7,6.5
여가서비스업,스키장,1.64116756E8,15.1,3757766.0,2.3
여행업,여행업,1593515.0,0.1,1593515.0,100.0
운송업,렌터카,983334.0,0.1,512023.0,52.1
운송업,수상운송,983334.0,0.1,168395.0,17.1
운송업,육상운송,983334.0,0.1,221565.0,22.5
운송업,항공운송,983334.0,0.1,81352.0,8.3
