기초지자체 명,기초지자체 지출액,기초지자체 지출액 비율
가평군,8.9577849E7,1.1
고양시 덕양구,2.70476461E8,3.4
고양시 일산동구,2.50957257E8,3.2
고양시 일산서구,1.82418168E8,2.3
과천시,3.0835605E7,0.4
광명시,1.43382587E8,1.8
광주시,1.61157716E8,2.0
구리시,1.1534501E8,1.5
군포시,9.3718903E7,1.2
김포시,2.85035147E8,3.6
남양주시,2.47273237E8,3.1
동두천시,2.8572326E7,0.4
부천시,2.4185922E8,3.1
성남시 분당구,5.80282268E8,7.4
성남시 수정구,1.29156327E8,1.6
성남시 중원구,8.5066555E7,1.1
수원시 권선구,1.77114801E8,2.3
수원시 영통구,2.43799739E8,3.1
수원시 장안구,8.7874387E7,1.1
수원시 팔달구,3.53296557E8,4.5
시흥시,2.63605032E8,3.4
안산시 단원구,2.60877545E8,3.3
안산시 상록구,1.21171243E8,1.5
안성시,1.360546E8,1.7
안양시 동안구,2.7496552E8,3.5
안양시 만안구,8.9432137E7,1.1
양주시,9.4213968E7,1.2
양평군,7.6392354E7,1.0
여주시,2.75114462E8,3.5
연천군,1.7767407E7,0.2
오산시,1.00971922E8,1.3
용인시 기흥구,2.8061326E8,3.6
용인시 수지구,1.88680666E8,2.4
용인시 처인구,1.84137787E8,2.3
의왕시,7.7851903E7,1.0
의정부시,1.73780031E8,2.2
이천시,2.0582656E8,2.6
파주시,2.9037464E8,3.7
평택시,2.00981432E8,2.6
포천시,1.35066645E8,1.7
하남시,2.86832108E8,3.6
화성시,3.32133347E8,4.2
