대분류,중분류,대분류 지출액,대분류 지출액 비율,중분류 지출액,중분류 지출액 비율
쇼핑업,관광기념품,3.61491674E8,43.8,774655.0,0.2
쇼핑업,대형쇼핑몰,3.61491674E8,43.8,2.80789747E8,77.7
쇼핑업,레저용품쇼핑,3.61491674E8,43.8,7.9927272E7,22.1
숙박업,기타숙박,1.7865793E7,2.2,1.6551797E7,92.6
숙박업,캠핑장/펜션,1.7865793E7,2.2,880.0,0.0
숙박업,호텔,1.7865793E7,2.2,1313116.0,7.3
식음료업,식음료,4.1149894E8,49.9,4.1149894E8,100.0
여가서비스업,골프장,3.2773551E7,4.0,2.0289849E7,61.9
여가서비스업,관광유원시설,3.2773551E7,4.0,2404490.0,7.3
여가서비스업,기타레저,3.2773551E7,4.0,5499675.0,16.8
여가서비스업,문화서비스,3.2773551E7,4.0,4579536.0,14.0
여행업,여행업,196474.0,0.0,196474.0,100.0
운송업,렌터카,1082533.0,0.1,463773.0,42.8
운송업,육상운송,1082533.0,0.1,114649.0,10.6
운송업,항공운송,1082533.0,0.1,504111.0,46.6
