대분류,중분류,대분류 지출액,대분류 지출액 비율,중분류 지출액,중분류 지출액 비율
쇼핑업,관광기념품,7.02306341E8,48.8,1251969.0,0.2
쇼핑업,대형쇼핑몰,7.02306341E8,48.8,6.13941172E8,87.4
쇼핑업,레저용품쇼핑,7.02306341E8,48.8,8.7103511E7,12.4
쇼핑업,면세점,7.02306341E8,48.8,9689.0,0.0
숙박업,기타숙박,3.1573686E7,2.2,2.1897617E7,69.4
숙박업,캠핑장/펜션,3.1573686E7,2.2,17667.0,0.1
숙박업,콘도,3.1573686E7,2.2,2732.0,0.0
숙박업,호텔,3.1573686E7,2.2,9655670.0,30.6
식음료업,식음료,6.50073691E8,45.2,6.50073691E8,100.0
여가서비스업,골프장,5.3615066E7,3.7,2.8708985E7,53.5
여가서비스업,관광유원시설,5.3615066E7,3.7,2902353.0,5.4
여가서비스업,기타레저,5.3615066E7,3.7,1.5569486E7,29.0
여가서비스업,문화서비스,5.3615066E7,3.7,6433803.0,12.0
여가서비스업,스키장,5.3615066E7,3.7,438.0,0.0
여행업,여행업,80525.0,0.0,80525.0,100.0
운송업,렌터카,1328774.0,0.1,777870.0,58.5
운송업,육상운송,1328774.0,0.1,13050.0,1.0
운송업,항공운송,1328774.0,0.1,537854.0,40.5
