대분류,중분류,대분류 지출액,대분류 지출액 비율,중분류 지출액,중분류 지출액 비율
쇼핑업,관광기념품,3.144466274E9,34.4,1.1503294E7,0.4
쇼핑업,대형쇼핑몰,3.144466274E9,34.4,2.652284961E9,84.3
쇼핑업,레저용품쇼핑,3.144466274E9,34.4,4.5985511E8,14.6
쇼핑업,면세점,3.144466274E9,34.4,2.0822909E7,0.7
숙박업,기타숙박,3.23319281E8,3.5,1.0917609E8,33.8
숙박업,캠핑장/펜션,3.23319281E8,3.5,41548.0,0.0
숙박업,콘도,3.23319281E8,3.5,1157771.0,0.4
숙박업,호텔,3.23319281E8,3.5,2.12943872E8,65.9
식음료업,식음료,5.005889755E9,54.7,5.005889755E9,100.0
여가서비스업,골프장,2.92287402E8,3.2,1.14807742E8,39.3
여가서비스업,관광유원시설,2.92287402E8,3.2,2.6923349E7,9.2
여가서비스업,기타레저,2.92287402E8,3.2,5.1470588E7,17.6
여가서비스업,문화서비스,2.92287402E8,3.2,9.7690938E7,33.4
여가서비스업,스키장,2.92287402E8,3.2,1394785.0,0.5
여행업,여행업,1.4741025E7,0.2,1.4741025E7,100.0
운송업,렌터카,3.64333653E8,4.0,7276664.0,2.0
운송업,수상운송,3.64333653E8,4.0,3.935536E7,10.8
운송업,육상운송,3.64333653E8,4.0,1.88820821E8,51.8
운송업,항공운송,3.64333653E8,4.0,1.28880808E8,35.4
