대분류,중분류,대분류 지출액,대분류 지출액 비율,중분류 지출액,중분류 지출액 비율
쇼핑업,관광기념품,1.1420547917E10,34.9,6.8317049E7,0.6
쇼핑업,대형쇼핑몰,1.1420547917E10,34.9,9.070338231E9,79.4
쇼핑업,레저용품쇼핑,1.1420547917E10,34.9,2.039043502E9,17.9
쇼핑업,면세점,1.1420547917E10,34.9,2.42849135E8,2.1
숙박업,기타숙박,1.306439916E9,4.0,6.65639297E8,51.0
숙박업,캠핑장/펜션,1.306439916E9,4.0,9401921.0,0.7
숙박업,콘도,1.306439916E9,4.0,1.883651E8,14.4
숙박업,호텔,1.306439916E9,4.0,4.43033597E8,33.9
식음료업,식음료,1.6587818731E10,50.6,1.6587818731E10,100.0
여가서비스업,골프장,2.569161518E9,7.8,1.985027748E9,77.3
여가서비스업,관광유원시설,2.569161518E9,7.8,9.7354293E7,3.8
여가서비스업,기타레저,2.569161518E9,7.8,2.14610969E8,8.4
여가서비스업,문화서비스,2.569161518E9,7.8,2.63574642E8,10.3
여가서비스업,스키장,2.569161518E9,7.8,8593866.0,0.3
여행업,여행업,2.3909263E7,0.1,2.3909263E7,100.0
운송업,렌터카,8.49455069E8,2.6,9.4820191E7,11.2
운송업,수상운송,8.49455069E8,2.6,5.3705098E7,6.3
운송업,육상운송,8.49455069E8,2.6,5.09736724E8,60.0
운송업,항공운송,8.49455069E8,2.6,1.91193055E8,22.5
