기준년월,광역지자체,중분류,지출액,전년도 지출액
202101,전라북도,총소비,4.39778E7,6.6488104E7
202101,전라북도,콘도,844810.0,2688324.0
202101,전라북도,호텔,37235.0,44099.0
202101,전라북도,캠핑장/펜션,17156.0,19582.0
202101,전라북도,기타숙박,1447625.0,1975334.0
202101,전라북도,여행업,8531.0,7482.0
202101,전라북도,육상운송,355.0,2137.0
202101,전라북도,수상운송,1000.0,1837.0
202101,전라북도,항공운송,1841.0,2237456.0
202101,전라북도,렌터카,12311.0,19780.0
202101,전라북도,관광기념품,97245.0,139043.0
202101,전라북도,레저용품쇼핑,5922201.0,6221703.0
202101,전라북도,대형쇼핑몰,9046808.0,1.1740126E7
202101,전라북도,관광유원시설,44094.0,91324.0
202101,전라북도,골프장,1808210.0,1809053.0
202101,전라북도,기타레저,342718.0,600652.0
202101,전라북도,문화서비스,226396.0,693773.0
202101,전라북도,식음료,2.4119264E7,3.8196399E7
202102,전라북도,총소비,5.246976E7,4.7148763E7
202102,전라북도,호텔,75267.0,15046.0
202102,전라북도,콘도,731608.0,1183426.0
202102,전라북도,캠핑장/펜션,16629.0,10546.0
202102,전라북도,기타숙박,1567306.0,1492957.0
202102,전라북도,여행업,171.0,20063.0
202102,전라북도,육상운송,3234.0,4082.0
202102,전라북도,수상운송,3300.0,0.0
202102,전라북도,항공운송,4156.0,626894.0
202102,전라북도,렌터카,19884.0,20478.0
202102,전라북도,관광기념품,153892.0,81326.0
202102,전라북도,레저용품쇼핑,7215148.0,4966075.0
202102,전라북도,대형쇼핑몰,9244579.0,7016467.0
202102,전라북도,관광유원시설,105512.0,52028.0
202102,전라북도,골프장,3582288.0,2233532.0
202102,전라북도,기타레저,478549.0,368070.0
202102,전라북도,문화서비스,284776.0,352419.0
202102,전라북도,식음료,2.8983461E7,2.8705354E7
202103,전라북도,총소비,6.0663924E7,4.981745E7
202103,전라북도,호텔,60815.0,13327.0
202103,전라북도,콘도,244749.0,176436.0
202103,전라북도,캠핑장/펜션,13690.0,10579.0
