대분류,중분류,대분류 지출액,대분류 지출액 비율,중분류 지출액,중분류 지출액 비율
쇼핑업,관광기념품,2.98571559E8,28.8,2.3258136E7,7.8
쇼핑업,대형쇼핑몰,2.98571559E8,28.8,3.0098957E7,10.1
쇼핑업,레저용품쇼핑,2.98571559E8,28.8,4.5953675E7,15.4
쇼핑업,면세점,2.98571559E8,28.8,1.9926079E8,66.7
숙박업,기타숙박,1.50282113E8,14.5,4.1296998E7,27.5
숙박업,캠핑장/펜션,1.50282113E8,14.5,533312.0,0.4
숙박업,콘도,1.50282113E8,14.5,4.7344803E7,31.5
숙박업,호텔,1.50282113E8,14.5,6.1106999E7,40.7
식음료업,식음료,4.31513073E8,41.7,4.31513073E8,100.0
여가서비스업,골프장,9.5993735E7,9.3,7.3523382E7,76.6
여가서비스업,관광유원시설,9.5993735E7,9.3,7654314.0,8.0
여가서비스업,기타레저,9.5993735E7,9.3,4426230.0,4.6
여가서비스업,문화서비스,9.5993735E7,9.3,1.038981E7,10.8
여행업,여행업,3349354.0,0.3,3349354.0,100.0
운송업,렌터카,5.5802325E7,5.4,2.998844E7,53.7
운송업,수상운송,5.5802325E7,5.4,2889301.0,5.2
운송업,육상운송,5.5802325E7,5.4,163061.0,0.3
운송업,항공운송,5.5802325E7,5.4,2.2761523E7,40.8
