기준년월,광역지자체,중분류,지출액,전년도 지출액
202201,경상남도,총소비,1.09436426E8,8.1253488E7
202201,경상남도,콘도,953860.0,391889.0
202201,경상남도,호텔,386568.0,302516.0
202201,경상남도,캠핑장/펜션,80761.0,47723.0
202201,경상남도,기타숙박,3387974.0,2758143.0
202201,경상남도,여행업,23084.0,13059.0
202201,경상남도,육상운송,3808.0,3248.0
202201,경상남도,수상운송,68989.0,71701.0
202201,경상남도,항공운송,332.0,0.0
202201,경상남도,렌터카,44983.0,36006.0
202201,경상남도,면세점,672.0,539.0
202201,경상남도,관광기념품,323706.0,161981.0
202201,경상남도,레저용품쇼핑,8958796.0,7240610.0
202201,경상남도,대형쇼핑몰,2.4835937E7,1.9462088E7
202201,경상남도,관광유원시설,224818.0,110707.0
202201,경상남도,골프장,1.089404E7,7678441.0
202201,경상남도,기타레저,981380.0,679547.0
202201,경상남도,문화서비스,559533.0,273119.0
202201,경상남도,식음료,5.7707184E7,4.2022171E7
202202,경상남도,총소비,8.9772382E7,9.0900733E7
202202,경상남도,호텔,372556.0,376070.0
202202,경상남도,콘도,868574.0,586066.0
202202,경상남도,캠핑장/펜션,71386.0,67234.0
202202,경상남도,기타숙박,3076098.0,2729030.0
202202,경상남도,여행업,19048.0,14534.0
202202,경상남도,육상운송,3655.0,4261.0
202202,경상남도,수상운송,46703.0,81141.0
202202,경상남도,항공운송,917.0,175.0
202202,경상남도,렌터카,40888.0,35806.0
202202,경상남도,면세점,515.0,523.0
202202,경상남도,관광기념품,256773.0,215567.0
202202,경상남도,레저용품쇼핑,6935169.0,7230732.0
202202,경상남도,대형쇼핑몰,1.7396516E7,2.0273493E7
202202,경상남도,관광유원시설,187453.0,164023.0
202202,경상남도,골프장,1.1438211E7,9904139.0
202202,경상남도,기타레저,768881.0,825917.0
202202,경상남도,문화서비스,445236.0,420065.0
202202,경상남도,식음료,4.7843805E7,4.7971959E7
202203,경상남도,총소비,1.04962326E8,1.04789262E8
202203,경상남도,콘도,562885.0,522336.0
202203,경상남도,호텔,347071.0,340640.0
202203,경상남도,캠핑장/펜션,42823.0,49149.0
202203,경상남도,기타숙박,3206742.0,2987256.0
202203,경상남도,여행업,24416.0,14407.0
202203,경상남도,육상운송,1401.0,4251.0
202203,경상남도,수상운송,54735.0,96424.0
202203,경상남도,항공운송,917.0,256.0
202203,경상남도,렌터카,35458.0,42226.0
202203,경상남도,면세점,224.0,505.0
202203,경상남도,관광기념품,285197.0,212964.0
202203,경상남도,레저용품쇼핑,8571471.0,9392631.0
202203,경상남도,대형쇼핑몰,2.0052817E7,1.9519018E7
202203,경상남도,관광유원시설,189905.0,173036.0
202203,경상남도,골프장,1.4376728E7,1.2610284E7
202203,경상남도,기타레저,837846.0,912518.0
202203,경상남도,문화서비스,461552.0,462092.0
202203,경상남도,식음료,5.5910139E7,5.7449268E7
202204,경상남도,총소비,1.32122715E8,1.08602202E8
202204,경상남도,콘도,964831.0,702028.0
202204,경상남도,호텔,474740.0,352348.0
202204,경상남도,캠핑장/펜션,89709.0,58738.0
202204,경상남도,기타숙박,3578175.0,3127784.0
202204,경상남도,여행업,19135.0,29592.0
202204,경상남도,육상운송,6838.0,9245.0
202204,경상남도,수상운송,94564.0,101577.0
202204,경상남도,항공운송,1403.0,408.0
202204,경상남도,렌터카,53220.0,48516.0
202204,경상남도,면세점,289.0,450.0
202204,경상남도,관광기념품,357476.0,262429.0
202204,경상남도,레저용품쇼핑,1.1730966E7,9851711.0
202204,경상남도,대형쇼핑몰,2.2864998E7,1.8548084E7
202204,경상남도,관광유원시설,316898.0,193190.0
202204,경상남도,골프장,1.7250088E7,1.4657635E7
202204,경상남도,기타레저,1006085.0,837971.0
202204,경상남도,문화서비스,777116.0,442418.0
202204,경상남도,식음료,7.2536187E7,5.9378079E7
202205,경상남도,총소비,1.48416098E8,1.23254849E8
202205,경상남도,콘도,1486758.0,1098857.0
202205,경상남도,호텔,597901.0,435647.0
202205,경상남도,캠핑장/펜션,111097.0,93954.0
202205,경상남도,기타숙박,3620870.0,3223960.0
202205,경상남도,여행업,29670.0,34029.0
202205,경상남도,육상운송,2703.0,9618.0
202205,경상남도,수상운송,131212.0,112851.0
202205,경상남도,항공운송,1672.0,232.0
202205,경상남도,렌터카,46980.0,53112.0
202205,경상남도,면세점,461.0,595.0
202205,경상남도,관광기념품,343440.0,357942.0
202205,경상남도,레저용품쇼핑,1.2118973E7,1.0545658E7
202205,경상남도,대형쇼핑몰,2.4568391E7,2.1812559E7
202205,경상남도,관광유원시설,462352.0,294159.0
202205,경상남도,골프장,1.8970597E7,1.6343739E7
202205,경상남도,기타레저,1236726.0,1034046.0
202205,경상남도,문화서비스,1618725.0,626779.0
202205,경상남도,식음료,8.3067571E7,6.7177112E7
202206,경상남도,총소비,1.36916585E8,1.14050522E8
202206,경상남도,호텔,636172.0,446645.0
202206,경상남도,콘도,1670960.0,999841.0
202206,경상남도,캠핑장/펜션,116219.0,87311.0
202206,경상남도,기타숙박,3638656.0,3119780.0
202206,경상남도,여행업,28498.0,24686.0
202206,경상남도,육상운송,7106.0,5570.0
202206,경상남도,수상운송,135534.0,115116.0
202206,경상남도,항공운송,1159.0,523.0
202206,경상남도,렌터카,58398.0,41761.0
202206,경상남도,면세점,725.0,366.0
202206,경상남도,관광기념품,287938.0,262739.0
202206,경상남도,레저용품쇼핑,9879536.0,9487519.0
202206,경상남도,대형쇼핑몰,2.2781454E7,1.8797762E7
202206,경상남도,관광유원시설,383523.0,222049.0
202206,경상남도,골프장,1.7523742E7,1.5961695E7
202206,경상남도,기타레저,1280591.0,949513.0
202206,경상남도,문화서비스,1683447.0,611699.0
202206,경상남도,식음료,7.6802927E7,6.2915946E7
