대분류,중분류,대분류 지출액,대분류 지출액 비율,중분류 지출액,중분류 지출액 비율
쇼핑업,관광기념품,2.30869653E8,34.4,370959.0,0.2
쇼핑업,대형쇼핑몰,2.30869653E8,34.4,2.16318987E8,93.7
쇼핑업,레저용품쇼핑,2.30869653E8,34.4,1.4179707E7,6.1
숙박업,기타숙박,9513588.0,1.4,6826231.0,71.8
숙박업,캠핑장/펜션,9513588.0,1.4,2532.0,0.0
숙박업,호텔,9513588.0,1.4,2684826.0,28.2
식음료업,식음료,1.70712819E8,25.4,1.70712819E8,100.0
여가서비스업,골프장,1.1462903E7,1.7,6783961.0,59.2
여가서비스업,관광유원시설,1.1462903E7,1.7,747654.0,6.5
여가서비스업,기타레저,1.1462903E7,1.7,1512315.0,13.2
여가서비스업,문화서비스,1.1462903E7,1.7,2418974.0,21.1
여행업,여행업,15816.0,0.0,15816.0,100.0
운송업,렌터카,2.48866124E8,37.1,201907.0,0.1
운송업,수상운송,2.48866124E8,37.1,1612.0,0.0
운송업,육상운송,2.48866124E8,37.1,2.48662605E8,99.9
