대분류,중분류,대분류 지출액,대분류 지출액 비율,중분류 지출액,중분류 지출액 비율
쇼핑업,관광기념품,6.24351667E8,44.4,1939458.0,0.3
쇼핑업,대형쇼핑몰,6.24351667E8,44.4,5.70357437E8,91.4
쇼핑업,레저용품쇼핑,6.24351667E8,44.4,5.0807924E7,8.1
쇼핑업,면세점,6.24351667E8,44.4,1246847.0,0.2
숙박업,기타숙박,5.8998334E7,4.2,2.5197531E7,42.7
숙박업,캠핑장/펜션,5.8998334E7,4.2,60750.0,0.1
숙박업,콘도,5.8998334E7,4.2,3268072.0,5.5
숙박업,호텔,5.8998334E7,4.2,3.0471982E7,51.6
식음료업,식음료,6.32035087E8,45.0,6.32035087E8,100.0
여가서비스업,골프장,5.4952211E7,3.9,3.2724887E7,59.6
여가서비스업,관광유원시설,5.4952211E7,3.9,4707602.0,8.6
여가서비스업,기타레저,5.4952211E7,3.9,1.0474346E7,19.1
여가서비스업,문화서비스,5.4952211E7,3.9,7045376.0,12.8
여행업,여행업,674965.0,0.0,674965.0,100.0
운송업,렌터카,3.3655157E7,2.4,710493.0,2.1
운송업,수상운송,3.3655157E7,2.4,1166021.0,3.5
운송업,육상운송,3.3655157E7,2.4,71815.0,0.2
운송업,항공운송,3.3655157E7,2.4,3.1706827E7,94.2
