대분류,중분류,대분류 지출액,대분류 지출액 비율,중분류 지출액,중분류 지출액 비율
쇼핑업,관광기념품,1.4754929E8,27.0,882519.0,0.6
쇼핑업,대형쇼핑몰,1.4754929E8,27.0,1.05591463E8,71.6
쇼핑업,레저용품쇼핑,1.4754929E8,27.0,4.1075309E7,27.8
숙박업,기타숙박,2.4674358E7,4.5,1.5880136E7,64.4
숙박업,캠핑장/펜션,2.4674358E7,4.5,546704.0,2.2
숙박업,콘도,2.4674358E7,4.5,6383911.0,25.9
숙박업,호텔,2.4674358E7,4.5,1863608.0,7.6
식음료업,식음료,3.25706047E8,59.6,3.25706047E8,100.0
여가서비스업,골프장,4.820221E7,8.8,3.9420807E7,81.8
여가서비스업,관광유원시설,4.820221E7,8.8,1066090.0,2.2
여가서비스업,기타레저,4.820221E7,8.8,4505760.0,9.3
여가서비스업,문화서비스,4.820221E7,8.8,3209554.0,6.7
여행업,여행업,40527.0,0.0,40527.0,100.0
운송업,렌터카,310187.0,0.1,67731.0,21.8
운송업,수상운송,310187.0,0.1,206584.0,66.6
운송업,육상운송,310187.0,0.1,35871.0,11.6
