대분류,중분류,대분류 지출액,대분류 지출액 비율,중분류 지출액,중분류 지출액 비율
쇼핑업,관광기념품,3.062996255E9,39.9,8206927.0,0.3
쇼핑업,대형쇼핑몰,3.062996255E9,39.9,2.60444451E9,85.0
쇼핑업,레저용품쇼핑,3.062996255E9,39.9,4.50342139E8,14.7
쇼핑업,면세점,3.062996255E9,39.9,2679.0,0.0
숙박업,기타숙박,1.45842663E8,1.9,1.26641092E8,86.8
숙박업,캠핑장/펜션,1.45842663E8,1.9,1688649.0,1.2
숙박업,콘도,1.45842663E8,1.9,5244055.0,3.6
숙박업,호텔,1.45842663E8,1.9,1.2268866E7,8.4
식음료업,식음료,3.622035522E9,47.2,3.622035522E9,100.0
여가서비스업,골프장,7.45792547E8,9.7,6.2078276E8,83.2
여가서비스업,관광유원시설,7.45792547E8,9.7,1.3803732E7,1.9
여가서비스업,기타레저,7.45792547E8,9.7,4.6620967E7,6.3
여가서비스업,문화서비스,7.45792547E8,9.7,6.1163728E7,8.2
여가서비스업,스키장,7.45792547E8,9.7,3421360.0,0.5
여행업,여행업,1225160.0,0.0,1225160.0,100.0
운송업,렌터카,9.4305234E7,1.2,4.3347952E7,46.0
운송업,수상운송,9.4305234E7,1.2,722688.0,0.8
운송업,육상운송,9.4305234E7,1.2,5.0234594E7,53.3
