대분류,중분류,대분류 지출액,대분류 지출액 비율,중분류 지출액,중분류 지출액 비율
쇼핑업,관광기념품,2.31403244E8,21.4,2700307.0,1.2
쇼핑업,대형쇼핑몰,2.31403244E8,21.4,1.21466609E8,52.5
쇼핑업,레저용품쇼핑,2.31403244E8,21.4,1.07236328E8,46.3
숙박업,기타숙박,5.4592643E7,5.1,3.1488456E7,57.7
숙박업,캠핑장/펜션,5.4592643E7,5.1,1006101.0,1.8
숙박업,콘도,5.4592643E7,5.1,9313782.0,17.1
숙박업,호텔,5.4592643E7,5.1,1.2784304E7,23.4
식음료업,식음료,6.14585318E8,56.9,6.14585318E8,100.0
여가서비스업,골프장,1.79262124E8,16.6,1.59524862E8,89.0
여가서비스업,관광유원시설,1.79262124E8,16.6,2927903.0,1.6
여가서비스업,기타레저,1.79262124E8,16.6,1.0198485E7,5.7
여가서비스업,문화서비스,1.79262124E8,16.6,6610874.0,3.7
여행업,여행업,238313.0,0.0,238313.0,100.0
운송업,렌터카,848483.0,0.1,567131.0,66.8
운송업,수상운송,848483.0,0.1,204239.0,24.1
운송업,육상운송,848483.0,0.1,77113.0,9.1
