대분류,중분류,대분류 지출액,대분류 지출액 비율,중분류 지출액,중분류 지출액 비율
쇼핑업,관광기념품,3.4665934E8,43.6,718759.0,0.2
쇼핑업,대형쇼핑몰,3.4665934E8,43.6,2.68709254E8,77.5
쇼핑업,레저용품쇼핑,3.4665934E8,43.6,7.7231328E7,22.3
숙박업,기타숙박,1.7217623E7,2.2,1.5971775E7,92.8
숙박업,캠핑장/펜션,1.7217623E7,2.2,717.0,0.0
숙박업,호텔,1.7217623E7,2.2,1245131.0,7.2
식음료업,식음료,4.01486199E8,50.5,4.01486199E8,100.0
여가서비스업,골프장,2.8088119E7,3.5,1.7392238E7,61.9
여가서비스업,관광유원시설,2.8088119E7,3.5,1751032.0,6.2
여가서비스업,기타레저,2.8088119E7,3.5,4796698.0,17.1
여가서비스업,문화서비스,2.8088119E7,3.5,4148151.0,14.8
여행업,여행업,203259.0,0.0,203259.0,100.0
운송업,렌터카,1073944.0,0.1,466491.0,43.4
운송업,수상운송,1073944.0,0.1,0.0,0.0
운송업,육상운송,1073944.0,0.1,122341.0,11.4
운송업,항공운송,1073944.0,0.1,485112.0,45.2
