기준년월,광역지자체,중분류,지출액,전년도 지출액
202008,부산광역시,총소비,2.2640868E8,2.78210916E8
202008,부산광역시,콘도,834205.0,918947.0
202008,부산광역시,호텔,5327551.0,5882974.0
202008,부산광역시,캠핑장/펜션,22119.0,3909.0
202008,부산광역시,기타숙박,5696382.0,6309128.0
202008,부산광역시,여행업,115269.0,326497.0
202008,부산광역시,육상운송,16004.0,37992.0
202008,부산광역시,수상운송,290622.0,549162.0
202008,부산광역시,항공운송,1545671.0,3791286.0
202008,부산광역시,렌터카,192299.0,202902.0
202008,부산광역시,면세점,28964.0,3372194.0
202008,부산광역시,관광기념품,175808.0,268315.0
202008,부산광역시,레저용품쇼핑,6658754.0,8612243.0
202008,부산광역시,대형쇼핑몰,8.1679814E7,9.5263969E7
202008,부산광역시,관광유원시설,809982.0,605220.0
202008,부산광역시,골프장,4844643.0,3760985.0
202008,부산광역시,기타레저,1514692.0,4987018.0
202008,부산광역시,문화서비스,1287591.0,3098526.0
202008,부산광역시,식음료,1.15368311E8,1.40219647E8
202009,부산광역시,총소비,1.92983104E8,2.54271396E8
202009,부산광역시,콘도,367643.0,564383.0
202009,부산광역시,호텔,2474894.0,4022243.0
202009,부산광역시,캠핑장/펜션,12753.0,12617.0
202009,부산광역시,기타숙박,3091853.0,4263903.0
202009,부산광역시,여행업,83014.0,206306.0
202009,부산광역시,육상운송,6920.0,18842.0
202009,부산광역시,수상운송,119408.0,327869.0
202009,부산광역시,항공운송,1445498.0,3204541.0
202009,부산광역시,렌터카,136264.0,162422.0
202009,부산광역시,면세점,66826.0,3360615.0
202009,부산광역시,관광기념품,147712.0,174736.0
202009,부산광역시,레저용품쇼핑,7040874.0,1.0079361E7
202009,부산광역시,대형쇼핑몰,8.3591722E7,9.9024493E7
202009,부산광역시,관광유원시설,201361.0,365076.0
202009,부산광역시,골프장,4734039.0,3755560.0
202009,부산광역시,기타레저,1073823.0,4394189.0
202009,부산광역시,문화서비스,542836.0,1928760.0
202009,부산광역시,식음료,8.7845665E7,1.18405481E8
202010,부산광역시,총소비,2.1850806E8,2.66035471E8
202010,부산광역시,호텔,3511995.0,4058367.0
202010,부산광역시,콘도,547518.0,619312.0
202010,부산광역시,캠핑장/펜션,18371.0,13407.0
202010,부산광역시,기타숙박,3897067.0,4805082.0
202010,부산광역시,여행업,75744.0,349442.0
202010,부산광역시,육상운송,4814.0,33440.0
202010,부산광역시,수상운송,326840.0,597958.0
202010,부산광역시,항공운송,2151356.0,4281125.0
202010,부산광역시,렌터카,135656.0,195968.0
202010,부산광역시,면세점,132970.0,3561036.0
202010,부산광역시,관광기념품,193814.0,262323.0
202010,부산광역시,레저용품쇼핑,1.077902E7,1.443206E7
202010,부산광역시,대형쇼핑몰,8.570133E7,9.6314035E7
202010,부산광역시,관광유원시설,429482.0,371961.0
202010,부산광역시,골프장,5515548.0,4082780.0
202010,부산광역시,기타레저,1378635.0,4240577.0
202010,부산광역시,문화서비스,821715.0,1928444.0
202010,부산광역시,식음료,1.02886185E8,1.25888154E8
202011,부산광역시,총소비,2.17181304E8,2.65777542E8
202011,부산광역시,콘도,550461.0,637480.0
202011,부산광역시,호텔,3858083.0,4211176.0
202011,부산광역시,캠핑장/펜션,12046.0,19023.0
202011,부산광역시,기타숙박,3934083.0,4691471.0
202011,부산광역시,여행업,115832.0,327251.0
202011,부산광역시,육상운송,11025.0,32764.0
202011,부산광역시,수상운송,251334.0,510588.0
202011,부산광역시,항공운송,1509612.0,4102890.0
202011,부산광역시,렌터카,145356.0,166918.0
202011,부산광역시,면세점,156240.0,3743610.0
202011,부산광역시,관광기념품,219860.0,220606.0
202011,부산광역시,레저용품쇼핑,9900827.0,1.4831901E7
202011,부산광역시,대형쇼핑몰,8.5526364E7,9.9154937E7
202011,부산광역시,관광유원시설,447093.0,589604.0
202011,부산광역시,골프장,4816577.0,4281678.0
202011,부산광역시,기타레저,1296818.0,1644937.0
202011,부산광역시,문화서비스,723052.0,1821546.0
202011,부산광역시,식음료,1.0370664E8,1.24789164E8
202012,부산광역시,총소비,1.55443967E8,2.86548392E8
202012,부산광역시,호텔,2532394.0,5695144.0
202012,부산광역시,콘도,385347.0,778227.0
202012,부산광역시,캠핑장/펜션,5055.0,16607.0
202012,부산광역시,기타숙박,3140587.0,5104146.0
202012,부산광역시,여행업,59584.0,434392.0
202012,부산광역시,육상운송,1802.0,28830.0
202012,부산광역시,수상운송,65133.0,311917.0
202012,부산광역시,항공운송,842019.0,4743590.0
202012,부산광역시,렌터카,98326.0,161010.0
202012,부산광역시,면세점,153094.0,3548097.0
202012,부산광역시,관광기념품,213454.0,238945.0
202012,부산광역시,레저용품쇼핑,7360553.0,1.238241E7
202012,부산광역시,대형쇼핑몰,7.4780552E7,1.03363337E8
202012,부산광역시,관광유원시설,189196.0,705314.0
202012,부산광역시,골프장,3491972.0,3361851.0
202012,부산광역시,기타레저,714228.0,1877235.0
202012,부산광역시,문화서비스,369850.0,2105252.0
202012,부산광역시,식음료,6.1040822E7,1.41692087E8
202101,부산광역시,총소비,1.61272814E8,2.58835797E8
202101,부산광역시,콘도,319620.0,705901.0
202101,부산광역시,호텔,2541151.0,4856176.0
202101,부산광역시,캠핑장/펜션,4372.0,16690.0
202101,부산광역시,기타숙박,2969568.0,4436813.0
202101,부산광역시,여행업,42440.0,278860.0
202101,부산광역시,육상운송,1198.0,25127.0
202101,부산광역시,수상운송,55662.0,261621.0
202101,부산광역시,항공운송,1515858.0,3479726.0
202101,부산광역시,렌터카,72382.0,158508.0
202101,부산광역시,면세점,103502.0,4150744.0
202101,부산광역시,관광기념품,179440.0,240292.0
202101,부산광역시,레저용품쇼핑,5919996.0,8974254.0
202101,부산광역시,대형쇼핑몰,7.7047688E7,9.9891627E7
202101,부산광역시,관광유원시설,226849.0,615001.0
202101,부산광역시,골프장,2989089.0,2641541.0
202101,부산광역시,기타레저,830406.0,2066305.0
202101,부산광역시,문화서비스,406560.0,1766618.0
202101,부산광역시,식음료,6.6047029E7,1.24269992E8
202102,부산광역시,총소비,1.8326652E8,1.92354179E8
202102,부산광역시,호텔,3983921.0,3181266.0
202102,부산광역시,콘도,395205.0,458271.0
202102,부산광역시,캠핑장/펜션,9792.0,12249.0
202102,부산광역시,기타숙박,3343444.0,3350413.0
202102,부산광역시,여행업,47269.0,183055.0
202102,부산광역시,육상운송,1544.0,13404.0
202102,부산광역시,수상운송,120649.0,139874.0
202102,부산광역시,항공운송,1918263.0,1235585.0
202102,부산광역시,렌터카,99369.0,115113.0
202102,부산광역시,면세점,58262.0,1230201.0
202102,부산광역시,관광기념품,230287.0,162544.0
202102,부산광역시,레저용품쇼핑,5937913.0,7041018.0
202102,부산광역시,대형쇼핑몰,8.0638193E7,7.7468878E7
202102,부산광역시,관광유원시설,435618.0,287051.0
202102,부산광역시,골프장,3826269.0,3013100.0
202102,부산광역시,기타레저,1218458.0,1263154.0
202102,부산광역시,문화서비스,674047.0,937491.0
202102,부산광역시,식음료,8.0328015E7,9.2261511E7
202103,부산광역시,총소비,2.11225181E8,1.66314613E8
202103,부산광역시,콘도,354193.0,202796.0
202103,부산광역시,호텔,3657283.0,1113655.0
202103,부산광역시,캠핑장/펜션,10757.0,10769.0
202103,부산광역시,기타숙박,3576734.0,2400610.0
202103,부산광역시,여행업,86913.0,61594.0
202103,부산광역시,육상운송,5868.0,2217.0
202103,부산광역시,수상운송,105645.0,88304.0
202103,부산광역시,항공운송,2464517.0,906962.0
202103,부산광역시,렌터카,108092.0,74144.0
202103,부산광역시,면세점,70207.0,58063.0
202103,부산광역시,관광기념품,239406.0,91148.0
202103,부산광역시,레저용품쇼핑,8453657.0,7248686.0
202103,부산광역시,대형쇼핑몰,8.5811651E7,7.6621721E7
202103,부산광역시,관광유원시설,399614.0,110541.0
202103,부산광역시,골프장,4990255.0,3635135.0
202103,부산광역시,기타레저,1360663.0,961060.0
202103,부산광역시,문화서비스,771764.0,295182.0
202103,부산광역시,식음료,9.875796E7,7.2432027E7
202104,부산광역시,총소비,1.91906278E8,1.91049925E8
202104,부산광역시,호텔,3884858.0,1612319.0
202104,부산광역시,콘도,378539.0,249958.0
202104,부산광역시,캠핑장/펜션,10739.0,13510.0
202104,부산광역시,기타숙박,3421720.0,2735021.0
202104,부산광역시,여행업,96552.0,72510.0
202104,부산광역시,육상운송,7145.0,1997.0
202104,부산광역시,수상운송,182604.0,130943.0
202104,부산광역시,항공운송,2370040.0,1147268.0
202104,부산광역시,렌터카,120610.0,106115.0
202104,부산광역시,면세점,104471.0,5537.0
202104,부산광역시,관광기념품,318122.0,170377.0
202104,부산광역시,레저용품쇼핑,8535785.0,1.0448762E7
202104,부산광역시,대형쇼핑몰,7.9943831E7,8.3257111E7
202104,부산광역시,관광유원시설,396473.0,175202.0
202104,부산광역시,골프장,5352477.0,4403875.0
202104,부산광역시,기타레저,1133340.0,1117166.0
202104,부산광역시,문화서비스,728978.0,239460.0
202104,부산광역시,식음료,8.4919994E7,8.5162794E7
202105,부산광역시,총소비,2.1443404E8,2.46715764E8
202105,부산광역시,호텔,4541460.0,3068647.0
202105,부산광역시,콘도,472844.0,520848.0
202105,부산광역시,캠핑장/펜션,17748.0,25400.0
202105,부산광역시,기타숙박,3670727.0,3497946.0
202105,부산광역시,여행업,101646.0,100008.0
202105,부산광역시,육상운송,9572.0,5727.0
202105,부산광역시,수상운송,241180.0,292926.0
202105,부산광역시,항공운송,2572895.0,1670987.0
202105,부산광역시,렌터카,142744.0,131653.0
202105,부산광역시,면세점,202078.0,11909.0
202105,부산광역시,관광기념품,313711.0,253091.0
202105,부산광역시,레저용품쇼핑,9055899.0,1.568347E7
202105,부산광역시,대형쇼핑몰,8.9015481E7,9.6496856E7
202105,부산광역시,관광유원시설,537121.0,407757.0
202105,부산광역시,골프장,5640438.0,5218303.0
202105,부산광역시,기타레저,1370412.0,1586076.0
202105,부산광역시,문화서비스,911060.0,380340.0
202105,부산광역시,식음료,9.5617024E7,1.17363819E8
202106,부산광역시,총소비,2.07929692E8,2.15079797E8
202106,부산광역시,호텔,4550456.0,3666727.0
202106,부산광역시,콘도,460803.0,563021.0
202106,부산광역시,캠핑장/펜션,15250.0,18802.0
202106,부산광역시,기타숙박,3829946.0,3734051.0
202106,부산광역시,여행업,60130.0,67534.0
202106,부산광역시,육상운송,10979.0,9928.0
202106,부산광역시,수상운송,188821.0,204439.0
202106,부산광역시,항공운송,2526764.0,1870948.0
202106,부산광역시,렌터카,125785.0,146790.0
202106,부산광역시,면세점,200852.0,19540.0
202106,부산광역시,관광기념품,267851.0,216557.0
202106,부산광역시,레저용품쇼핑,7902428.0,9503066.0
202106,부산광역시,대형쇼핑몰,8.0298822E7,7.8533939E7
202106,부산광역시,관광유원시설,516933.0,402679.0
202106,부산광역시,골프장,5535687.0,4979489.0
202106,부산광역시,기타레저,1343990.0,1433099.0
202106,부산광역시,문화서비스,1017222.0,630227.0
202106,부산광역시,식음료,9.9076973E7,1.0907896E8
202107,부산광역시,총소비,2.01244598E8,2.22518015E8
202107,부산광역시,호텔,5315657.0,4435145.0
202107,부산광역시,콘도,527413.0,682494.0
202107,부산광역시,캠핑장/펜션,13223.0,22098.0
202107,부산광역시,기타숙박,4196108.0,4550762.0
202107,부산광역시,여행업,67292.0,109054.0
202107,부산광역시,육상운송,6076.0,10558.0
202107,부산광역시,수상운송,170784.0,223386.0
202107,부산광역시,항공운송,1787564.0,2359710.0
202107,부산광역시,렌터카,144115.0,141470.0
202107,부산광역시,면세점,113277.0,30745.0
202107,부산광역시,관광기념품,246535.0,180923.0
202107,부산광역시,레저용품쇼핑,7133166.0,7463532.0
202107,부산광역시,대형쇼핑몰,7.9673604E7,7.7420351E7
202107,부산광역시,관광유원시설,512314.0,467062.0
202107,부산광역시,골프장,5589403.0,4595210.0
202107,부산광역시,기타레저,1404045.0,1623829.0
202107,부산광역시,문화서비스,1149811.0,932123.0
202107,부산광역시,식음료,9.3194211E7,1.17269563E8
