기준년월,광역지자체,중분류,지출액,전년도 지출액
202008,울산광역시,총소비,4.5312428E7,5.0788653E7
202008,울산광역시,콘도,1240.0,120.0
202008,울산광역시,호텔,363856.0,470013.0
202008,울산광역시,캠핑장/펜션,8322.0,9855.0
202008,울산광역시,기타숙박,1300332.0,1394089.0
202008,울산광역시,여행업,2830.0,35504.0
202008,울산광역시,육상운송,2004.0,25034.0
202008,울산광역시,수상운송,100.0,1125.0
202008,울산광역시,항공운송,10850.0,7826.0
202008,울산광역시,렌터카,45878.0,24355.0
202008,울산광역시,면세점,2259.0,4338.0
202008,울산광역시,관광기념품,44272.0,54999.0
202008,울산광역시,레저용품쇼핑,2295295.0,2443413.0
202008,울산광역시,대형쇼핑몰,9883469.0,1.0951122E7
202008,울산광역시,관광유원시설,23154.0,27198.0
202008,울산광역시,골프장,2144363.0,1834207.0
202008,울산광역시,기타레저,493100.0,1150455.0
202008,울산광역시,문화서비스,320867.0,655301.0
202008,울산광역시,식음료,2.8370238E7,3.1699699E7
202009,울산광역시,총소비,3.637533E7,4.6017342E7
202009,울산광역시,콘도,0.0,0.0
202009,울산광역시,호텔,259197.0,374519.0
202009,울산광역시,캠핑장/펜션,1501.0,4608.0
202009,울산광역시,기타숙박,865399.0,1124568.0
202009,울산광역시,여행업,3432.0,35261.0
202009,울산광역시,육상운송,1531.0,20270.0
202009,울산광역시,수상운송,25.0,266.0
202009,울산광역시,항공운송,4254.0,6135.0
202009,울산광역시,렌터카,28666.0,14180.0
202009,울산광역시,면세점,2360.0,5582.0
202009,울산광역시,관광기념품,37508.0,47451.0
202009,울산광역시,레저용품쇼핑,2515144.0,2865882.0
202009,울산광역시,대형쇼핑몰,9372066.0,1.1033753E7
202009,울산광역시,관광유원시설,22305.0,25128.0
202009,울산광역시,골프장,1867776.0,1615517.0
202009,울산광역시,기타레저,344813.0,1028622.0
202009,울산광역시,문화서비스,129523.0,420584.0
202009,울산광역시,식음료,2.0919832E7,2.7395015E7
202010,울산광역시,총소비,4.441485E7,4.8933662E7
202010,울산광역시,콘도,1282.0,252.0
202010,울산광역시,호텔,346829.0,486610.0
202010,울산광역시,캠핑장/펜션,3885.0,6074.0
202010,울산광역시,기타숙박,1062549.0,1259194.0
202010,울산광역시,여행업,2936.0,32157.0
202010,울산광역시,육상운송,2300.0,15578.0
202010,울산광역시,수상운송,725.0,100.0
202010,울산광역시,항공운송,9680.0,7441.0
202010,울산광역시,렌터카,28855.0,23793.0
202010,울산광역시,면세점,1300.0,6760.0
202010,울산광역시,관광기념품,50888.0,50479.0
202010,울산광역시,레저용품쇼핑,3831947.0,3681131.0
202010,울산광역시,대형쇼핑몰,9679435.0,1.0315986E7
202010,울산광역시,관광유원시설,27729.0,17388.0
202010,울산광역시,골프장,2388683.0,1873670.0
202010,울산광역시,기타레저,411350.0,983516.0
202010,울산광역시,문화서비스,213165.0,383690.0
202010,울산광역시,식음료,2.6351312E7,2.9789841E7
202011,울산광역시,총소비,4.3117812E7,4.9287876E7
202011,울산광역시,콘도,368.0,50.0
202011,울산광역시,호텔,355496.0,404088.0
202011,울산광역시,캠핑장/펜션,1909.0,5910.0
202011,울산광역시,기타숙박,1048143.0,1223569.0
202011,울산광역시,여행업,10056.0,18100.0
202011,울산광역시,육상운송,10163.0,2032.0
202011,울산광역시,수상운송,455.0,1065.0
202011,울산광역시,항공운송,7798.0,8790.0
202011,울산광역시,렌터카,32091.0,23732.0
202011,울산광역시,면세점,0.0,4695.0
202011,울산광역시,관광기념품,47713.0,56791.0
202011,울산광역시,레저용품쇼핑,3569224.0,4017111.0
202011,울산광역시,대형쇼핑몰,9533153.0,1.088476E7
202011,울산광역시,관광유원시설,19174.0,21699.0
202011,울산광역시,골프장,2126064.0,1819384.0
202011,울산광역시,기타레저,370184.0,500738.0
202011,울산광역시,문화서비스,163518.0,450377.0
202011,울산광역시,식음료,2.5822303E7,2.9844985E7
202012,울산광역시,총소비,3.118944E7,5.1866232E7
202012,울산광역시,콘도,158.0,713.0
202012,울산광역시,호텔,275378.0,588876.0
202012,울산광역시,캠핑장/펜션,3266.0,3983.0
202012,울산광역시,기타숙박,858119.0,1261555.0
202012,울산광역시,여행업,1194.0,19945.0
202012,울산광역시,육상운송,1808.0,2558.0
202012,울산광역시,수상운송,910.0,445.0
202012,울산광역시,항공운송,4093.0,9019.0
202012,울산광역시,렌터카,22007.0,16380.0
202012,울산광역시,면세점,0.0,4024.0
202012,울산광역시,관광기념품,27756.0,38594.0
