대분류,중분류,대분류 지출액,대분류 지출액 비율,중분류 지출액,중분류 지출액 비율
쇼핑업,관광기념품,1.43948074E8,31.5,477176.0,0.3
쇼핑업,대형쇼핑몰,1.43948074E8,31.5,1.0956773E8,76.1
쇼핑업,레저용품쇼핑,1.43948074E8,31.5,3.3896815E7,23.5
쇼핑업,면세점,1.43948074E8,31.5,6353.0,0.0
숙박업,기타숙박,1.5435182E7,3.4,1.1575444E7,75.0
숙박업,캠핑장/펜션,1.5435182E7,3.4,43352.0,0.3
숙박업,콘도,1.5435182E7,3.4,6295.0,0.0
숙박업,호텔,1.5435182E7,3.4,3810091.0,24.7
식음료업,식음료,2.6582596E8,58.1,2.6582596E8,100.0
여가서비스업,골프장,3.184835E7,7.0,2.5089714E7,78.8
여가서비스업,관광유원시설,3.184835E7,7.0,288066.0,0.9
여가서비스업,기타레저,3.184835E7,7.0,4412292.0,13.9
여가서비스업,문화서비스,3.184835E7,7.0,2058277.0,6.5
여행업,여행업,49139.0,0.0,49139.0,100.0
운송업,렌터카,492099.0,0.1,361565.0,73.5
운송업,수상운송,492099.0,0.1,7499.0,1.5
운송업,육상운송,492099.0,0.1,32100.0,6.5
운송업,항공운송,492099.0,0.1,90936.0,18.5
