광역지자체,소비액,전년동기 소비액,전년대비 소비증감률
서울특별시,8.752851188E9,1.0958520024E10,-20.1
부산광역시,2.381804238E9,2.843711806E9,-16.2
대구광역시,1.435743317E9,1.498921223E9,-4.2
인천광역시,1.353732883E9,1.797619724E9,-24.7
광주광역시,7.94728485E8,8.98548322E8,-11.6
대전광역시,9.32504889E8,1.131025029E9,-17.6
울산광역시,4.57598804E8,5.34625971E8,-14.4
세종특별자치시,8.8212249E7,9.2852286E7,-5.0
경기도,7.672197381E9,8.499029342E9,-9.7
강원도,1.069252276E9,1.15744832E9,-7.6
충청북도,8.73886344E8,9.46636824E8,-7.7
충청남도,9.69084625E8,1.057060141E9,-8.3
전라북도,7.17065137E8,7.89336968E8,-9.2
전라남도,7.96074052E8,8.3788515E8,-5.0
경상북도,1.080930125E9,1.08941339E9,-0.8
경상남도,1.302216776E9,1.424845144E9,-8.6
제주특별자치도,9.66555954E8,8.22292515E8,17.5
