대분류,중분류,대분류 지출액,대분류 지출액 비율,중분류 지출액,중분류 지출액 비율
쇼핑업,관광기념품,1.1046924828E10,34.9,5.9056446E7,0.5
쇼핑업,대형쇼핑몰,1.1046924828E10,34.9,8.791334481E9,79.6
쇼핑업,레저용품쇼핑,1.1046924828E10,34.9,1.973913474E9,17.9
쇼핑업,면세점,1.1046924828E10,34.9,2.22620427E8,2.0
숙박업,기타숙박,1.226461362E9,3.9,6.43040966E8,52.4
숙박업,캠핑장/펜션,1.226461362E9,3.9,8819222.0,0.7
숙박업,콘도,1.226461362E9,3.9,1.68830916E8,13.8
숙박업,호텔,1.226461362E9,3.9,4.05770257E8,33.1
식음료업,식음료,1.620869037E10,51.2,1.620869037E10,100.0
여가서비스업,골프장,2.361993427E9,7.5,1.845066828E9,78.1
여가서비스업,관광유원시설,2.361993427E9,7.5,8.2943821E7,3.5
여가서비스업,기타레저,2.361993427E9,7.5,2.0231814E8,8.6
여가서비스업,문화서비스,2.361993427E9,7.5,2.24951602E8,9.5
여가서비스업,스키장,2.361993427E9,7.5,6713036.0,0.3
여행업,여행업,2.4041435E7,0.1,2.4041435E7,100.0
운송업,렌터카,7.763273E8,2.5,8.838609E7,11.4
운송업,수상운송,7.763273E8,2.5,5.0519297E7,6.5
운송업,육상운송,7.763273E8,2.5,4.82336771E8,62.1
운송업,항공운송,7.763273E8,2.5,1.55085142E8,20.0
