기준년월,광역지자체,중분류,지출액,전년도 지출액
202008,전라남도,총소비,8.4435467E7,8.7867866E7
202008,전라남도,호텔,567840.0,536537.0
202008,전라남도,콘도,1500958.0,1884712.0
202008,전라남도,캠핑장/펜션,116369.0,54376.0
202008,전라남도,기타숙박,5600720.0,5497997.0
202008,전라남도,여행업,52215.0,80489.0
202008,전라남도,육상운송,24324.0,31894.0
202008,전라남도,수상운송,147604.0,149715.0
202008,전라남도,항공운송,10706.0,10072.0
202008,전라남도,렌터카,70813.0,68367.0
202008,전라남도,면세점,0.0,77097.0
202008,전라남도,관광기념품,105870.0,178009.0
202008,전라남도,레저용품쇼핑,4373497.0,4693583.0
202008,전라남도,대형쇼핑몰,8266309.0,9041679.0
202008,전라남도,관광유원시설,2715985.0,1856078.0
202008,전라남도,골프장,8138147.0,6727860.0
202008,전라남도,기타레저,797789.0,1735481.0
202008,전라남도,문화서비스,932693.0,2002179.0
202008,전라남도,식음료,5.1013625E7,5.3241741E7
202009,전라남도,총소비,5.8213889E7,6.7782181E7
202009,전라남도,호텔,207691.0,310754.0
202009,전라남도,콘도,415380.0,758782.0
202009,전라남도,캠핑장/펜션,36150.0,21031.0
202009,전라남도,기타숙박,2630611.0,3263434.0
202009,전라남도,여행업,29097.0,64350.0
202009,전라남도,육상운송,11439.0,25658.0
202009,전라남도,수상운송,46084.0,85776.0
202009,전라남도,항공운송,7061.0,6607.0
202009,전라남도,렌터카,40256.0,34646.0
202009,전라남도,면세점,0.0,47224.0
202009,전라남도,관광기념품,69779.0,100701.0
202009,전라남도,레저용품쇼핑,5399097.0,5850382.0
202009,전라남도,대형쇼핑몰,7536267.0,9840482.0
202009,전라남도,관광유원시설,603977.0,740102.0
202009,전라남도,골프장,7979773.0,6417344.0
202009,전라남도,기타레저,359116.0,1136681.0
202009,전라남도,문화서비스,269545.0,1194995.0
202009,전라남도,식음료,3.2572566E7,3.7883231E7
202010,전라남도,총소비,7.896791E7,7.8206175E7
202010,전라남도,호텔,370600.0,357666.0
202010,전라남도,콘도,717884.0,808016.0
202010,전라남도,캠핑장/펜션,61822.0,27664.0
202010,전라남도,기타숙박,3840796.0,3944899.0
202010,전라남도,여행업,55516.0,80009.0
202010,전라남도,육상운송,46651.0,65462.0
202010,전라남도,수상운송,108342.0,86501.0
202010,전라남도,항공운송,11497.0,7650.0
202010,전라남도,렌터카,51431.0,47843.0
202010,전라남도,면세점,0.0,57666.0
202010,전라남도,관광기념품,110581.0,145769.0
202010,전라남도,레저용품쇼핑,8153515.0,7572561.0
202010,전라남도,대형쇼핑몰,9541062.0,9132764.0
202010,전라남도,관광유원시설,1419324.0,1028856.0
202010,전라남도,골프장,1.0245256E7,8586747.0
202010,전라남도,기타레저,537137.0,1136144.0
202010,전라남도,문화서비스,570924.0,1474865.0
202010,전라남도,식음료,4.3125571E7,4.3645092E7
202011,전라남도,총소비,6.6769662E7,7.631848E7
202011,전라남도,호텔,343176.0,347483.0
202011,전라남도,콘도,712066.0,733820.0
202011,전라남도,캠핑장/펜션,42506.0,38249.0
202011,전라남도,기타숙박,3490308.0,3698924.0
202011,전라남도,여행업,31908.0,62658.0
202011,전라남도,육상운송,32599.0,49668.0
202011,전라남도,수상운송,83817.0,92078.0
202011,전라남도,항공운송,12906.0,8202.0
202011,전라남도,렌터카,48481.0,45948.0
202011,전라남도,면세점,0.0,61451.0
202011,전라남도,관광기념품,98586.0,139393.0
202011,전라남도,레저용품쇼핑,6972935.0,8349847.0
202011,전라남도,대형쇼핑몰,7406012.0,9879159.0
202011,전라남도,관광유원시설,1000308.0,1380741.0
202011,전라남도,골프장,8773943.0,8086555.0
202011,전라남도,기타레저,355168.0,612424.0
202011,전라남도,문화서비스,407379.0,679738.0
202011,전라남도,식음료,3.6957566E7,4.2052142E7
202012,전라남도,총소비,5.2713156E7,7.0110584E7
202012,전라남도,호텔,232337.0,455560.0
202012,전라남도,콘도,397459.0,805222.0
202012,전라남도,캠핑장/펜션,29185.0,41428.0
202012,전라남도,기타숙박,2731864.0,3551638.0
202012,전라남도,여행업,10623.0,33918.0
202012,전라남도,육상운송,10443.0,22451.0
202012,전라남도,수상운송,34122.0,79002.0
202012,전라남도,항공운송,8619.0,8565.0
202012,전라남도,렌터카,28465.0,45403.0
202012,전라남도,면세점,0.0,55426.0
202012,전라남도,관광기념품,57787.0,82167.0
202012,전라남도,레저용품쇼핑,6009574.0,6614303.0
202012,전라남도,대형쇼핑몰,7795003.0,1.0205103E7
202012,전라남도,관광유원시설,475218.0,1325709.0
202012,전라남도,골프장,6106536.0,5002602.0
202012,전라남도,기타레저,283780.0,610731.0
202012,전라남도,문화서비스,204749.0,711379.0
202012,전라남도,식음료,2.8297394E7,4.0459979E7
202101,전라남도,총소비,4.5489872E7,6.4247322E7
202101,전라남도,호텔,194096.0,351971.0
202101,전라남도,콘도,365641.0,849501.0
202101,전라남도,캠핑장/펜션,27210.0,41239.0
202101,전라남도,기타숙박,2542120.0,3277849.0
202101,전라남도,여행업,8631.0,38902.0
202101,전라남도,육상운송,8391.0,20190.0
202101,전라남도,수상운송,31363.0,63173.0
202101,전라남도,항공운송,6872.0,7593.0
202101,전라남도,렌터카,27907.0,37246.0
202101,전라남도,면세점,0.0,76858.0
202101,전라남도,관광기념품,57587.0,90124.0
202101,전라남도,레저용품쇼핑,4269402.0,4811281.0
202101,전라남도,대형쇼핑몰,7361639.0,9399750.0
202101,전라남도,관광유원시설,532870.0,1389897.0
202101,전라남도,골프장,3511221.0,3537580.0
202101,전라남도,기타레저,346283.0,840292.0
202101,전라남도,문화서비스,244376.0,680847.0
202101,전라남도,식음료,2.5954263E7,3.8733028E7
202102,전라남도,총소비,5.3431557E7,5.0803049E7
202102,전라남도,호텔,295771.0,251442.0
202102,전라남도,콘도,475545.0,566887.0
202102,전라남도,캠핑장/펜션,43585.0,32745.0
202102,전라남도,기타숙박,2854304.0,2660202.0
202102,전라남도,여행업,23862.0,26090.0
202102,전라남도,육상운송,8705.0,11150.0
202102,전라남도,수상운송,36807.0,40162.0
202102,전라남도,항공운송,9050.0,3148.0
202102,전라남도,렌터카,37081.0,32511.0
202102,전라남도,면세점,0.0,20552.0
202102,전라남도,관광기념품,76970.0,72852.0
202102,전라남도,레저용품쇼핑,4162708.0,3921091.0
202102,전라남도,대형쇼핑몰,7934426.0,6455144.0
202102,전라남도,관광유원시설,895491.0,697616.0
202102,전라남도,골프장,6023632.0,4235479.0
202102,전라남도,기타레저,403189.0,475562.0
202102,전라남도,문화서비스,367867.0,399680.0
202102,전라남도,식음료,2.9782563E7,3.0900736E7
