기준년월,광역지자체,중분류,지출액,전년도 지출액
202008,전라북도,총소비,6.6513331E7,7.6953483E7
202008,전라북도,호텔,145097.0,100075.0
202008,전라북도,콘도,1130490.0,1461281.0
202008,전라북도,캠핑장/펜션,56452.0,35577.0
202008,전라북도,기타숙박,2514068.0,2837134.0
202008,전라북도,여행업,2733.0,13030.0
202008,전라북도,육상운송,4008.0,5504.0
202008,전라북도,수상운송,767.0,5030.0
202008,전라북도,항공운송,0.0,1997340.0
202008,전라북도,렌터카,26023.0,32905.0
202008,전라북도,면세점,0.0,51.0
202008,전라북도,관광기념품,142803.0,200637.0
202008,전라북도,레저용품쇼핑,4749234.0,5585469.0
202008,전라북도,대형쇼핑몰,9835514.0,1.1007117E7
202008,전라북도,관광유원시설,186649.0,239306.0
202008,전라북도,골프장,4973393.0,4246618.0
202008,전라북도,기타레저,653455.0,1731979.0
202008,전라북도,문화서비스,642962.0,1090833.0
202008,전라북도,식음료,4.1449685E7,4.6363595E7
202009,전라북도,총소비,5.6779067E7,6.8967068E7
202009,전라북도,호텔,60341.0,49689.0
202009,전라북도,콘도,242135.0,512167.0
202009,전라북도,캠핑장/펜션,13610.0,13107.0
202009,전라북도,기타숙박,1732929.0,2055319.0
202009,전라북도,여행업,4063.0,9777.0
202009,전라북도,육상운송,1340.0,2158.0
202009,전라북도,수상운송,0.0,6860.0
202009,전라북도,항공운송,0.0,1890599.0
202009,전라북도,렌터카,22368.0,20709.0
202009,전라북도,면세점,0.0,939.0
202009,전라북도,관광기념품,111722.0,152840.0
202009,전라북도,레저용품쇼핑,6721832.0,7184131.0
202009,전라북도,대형쇼핑몰,9960154.0,1.2200523E7
202009,전라북도,관광유원시설,47629.0,87330.0
202009,전라북도,골프장,5209617.0,4005356.0
202009,전라북도,기타레저,317110.0,1250123.0
202009,전라북도,문화서비스,323815.0,644174.0
202009,전라북도,식음료,3.2010403E7,3.8881267E7
202010,전라북도,총소비,7.0719164E7,7.653703E7
202010,전라북도,호텔,100642.0,90192.0
202010,전라북도,콘도,558641.0,614945.0
202010,전라북도,캠핑장/펜션,24572.0,19280.0
202010,전라북도,기타숙박,2128043.0,2477627.0
202010,전라북도,여행업,10245.0,32784.0
202010,전라북도,육상운송,5097.0,2318.0
202010,전라북도,수상운송,655.0,11274.0
202010,전라북도,항공운송,5065.0,2203713.0
202010,전라북도,렌터카,18356.0,28450.0
202010,전라북도,면세점,0.0,2063.0
202010,전라북도,관광기념품,173216.0,230516.0
202010,전라북도,레저용품쇼핑,1.0773478E7,9612791.0
202010,전라북도,대형쇼핑몰,1.0201148E7,1.0552957E7
202010,전라북도,관광유원시설,139116.0,152270.0
202010,전라북도,골프장,6512816.0,5522300.0
202010,전라북도,기타레저,495101.0,1295571.0
202010,전라북도,문화서비스,518048.0,808153.0
202010,전라북도,식음료,3.9054924E7,4.2879826E7
202011,전라북도,총소비,6.3983325E7,7.5298627E7
202011,전라북도,호텔,88024.0,69374.0
202011,전라북도,콘도,444999.0,524079.0
202011,전라북도,캠핑장/펜션,19521.0,23345.0
202011,전라북도,기타숙박,2128034.0,2432116.0
202011,전라북도,여행업,16148.0,34106.0
202011,전라북도,육상운송,1642.0,3647.0
202011,전라북도,수상운송,400.0,14656.0
202011,전라북도,항공운송,9037.0,1972398.0
202011,전라북도,렌터카,28372.0,25026.0
202011,전라북도,면세점,0.0,1140.0
202011,전라북도,관광기념품,163965.0,206983.0
202011,전라북도,레저용품쇼핑,9494090.0,1.0156082E7
202011,전라북도,대형쇼핑몰,9339097.0,1.12595E7
202011,전라북도,관광유원시설,116160.0,146757.0
202011,전라북도,골프장,5518552.0,4813373.0
202011,전라북도,기타레저,450634.0,633306.0
202011,전라북도,문화서비스,437697.0,788663.0
202011,전라북도,식음료,3.5726952E7,4.2194078E7
202012,전라북도,총소비,4.4671149E7,7.2570809E7
202012,전라북도,호텔,43452.0,48474.0
202012,전라북도,콘도,514977.0,1680993.0
202012,전라북도,캠핑장/펜션,11934.0,11395.0
202012,전라북도,기타숙박,1513871.0,2154957.0
202012,전라북도,여행업,165.0,23199.0
202012,전라북도,육상운송,4204.0,5975.0
202012,전라북도,수상운송,0.0,10770.0
202012,전라북도,항공운송,2142.0,2732686.0
202012,전라북도,렌터카,23432.0,18539.0
202012,전라북도,면세점,0.0,370.0
202012,전라북도,관광기념품,109449.0,140939.0
202012,전라북도,레저용품쇼핑,7207060.0,8457431.0
202012,전라북도,대형쇼핑몰,8785446.0,1.1938431E7
202012,전라북도,관광유원시설,35262.0,97427.0
202012,전라북도,골프장,3220276.0,2437584.0
202012,전라북도,기타레저,239305.0,581968.0
202012,전라북도,문화서비스,178881.0,778646.0
202012,전라북도,식음료,2.2781292E7,4.1451025E7
202101,전라북도,총소비,4.39778E7,6.6488104E7
202101,전라북도,호텔,37235.0,44099.0
202101,전라북도,콘도,844810.0,2688324.0
202101,전라북도,캠핑장/펜션,17156.0,19582.0
202101,전라북도,기타숙박,1447625.0,1975334.0
202101,전라북도,여행업,8531.0,7482.0
202101,전라북도,육상운송,355.0,2137.0
202101,전라북도,수상운송,1000.0,1837.0
202101,전라북도,항공운송,1841.0,2237456.0
202101,전라북도,렌터카,12311.0,19780.0
202101,전라북도,관광기념품,97245.0,139043.0
202101,전라북도,레저용품쇼핑,5922201.0,6221703.0
202101,전라북도,대형쇼핑몰,9046808.0,1.1740126E7
202101,전라북도,관광유원시설,44094.0,91324.0
202101,전라북도,골프장,1808210.0,1809053.0
202101,전라북도,기타레저,342718.0,600652.0
202101,전라북도,문화서비스,226396.0,693773.0
202101,전라북도,식음료,2.4119264E7,3.8196399E7
202102,전라북도,총소비,5.246976E7,4.7148763E7
202102,전라북도,호텔,75267.0,15046.0
202102,전라북도,콘도,731608.0,1183426.0
202102,전라북도,캠핑장/펜션,16629.0,10546.0
202102,전라북도,기타숙박,1567306.0,1492957.0
202102,전라북도,여행업,171.0,20063.0
202102,전라북도,육상운송,3234.0,4082.0
202102,전라북도,수상운송,3300.0,0.0
202102,전라북도,항공운송,4156.0,626894.0
202102,전라북도,렌터카,19884.0,20478.0
202102,전라북도,관광기념품,153892.0,81326.0
202102,전라북도,레저용품쇼핑,7215148.0,4966075.0
202102,전라북도,대형쇼핑몰,9244579.0,7016467.0
202102,전라북도,관광유원시설,105512.0,52028.0
202102,전라북도,골프장,3582288.0,2233532.0
202102,전라북도,기타레저,478549.0,368070.0
202102,전라북도,문화서비스,284776.0,352419.0
202102,전라북도,식음료,2.8983461E7,2.8705354E7
202103,전라북도,총소비,6.0663924E7,4.981745E7
202103,전라북도,호텔,60815.0,13327.0
202103,전라북도,콘도,244749.0,176436.0
202103,전라북도,캠핑장/펜션,13690.0,10579.0
202103,전라북도,기타숙박,1821058.0,1401549.0
202103,전라북도,여행업,4273.0,8170.0
202103,전라북도,육상운송,776.0,1461.0
202103,전라북도,수상운송,0.0,0.0
202103,전라북도,항공운송,5001.0,340966.0
202103,전라북도,렌터카,15666.0,10110.0
202103,전라북도,관광기념품,156800.0,93404.0
202103,전라북도,레저용품쇼핑,8900374.0,6191010.0
202103,전라북도,대형쇼핑몰,9082495.0,7918507.0
202103,전라북도,관광유원시설,126009.0,34462.0
202103,전라북도,골프장,5620904.0,3639907.0
202103,전라북도,기타레저,489948.0,320181.0
202103,전라북도,문화서비스,325933.0,186063.0
202103,전라북도,식음료,3.3795432E7,2.9471317E7
202104,전라북도,총소비,6.028572E7,5.7396943E7
202104,전라북도,호텔,59290.0,17988.0
202104,전라북도,콘도,286245.0,169113.0
202104,전라북도,캠핑장/펜션,17731.0,8141.0
202104,전라북도,기타숙박,1863279.0,1584281.0
