대분류,중분류,대분류 지출액,대분류 지출액 비율,중분류 지출액,중분류 지출액 비율
쇼핑업,관광기념품,2.80852459E8,29.1,1.9001544E7,6.8
쇼핑업,대형쇼핑몰,2.80852459E8,29.1,2.7953118E7,10.0
쇼핑업,레저용품쇼핑,2.80852459E8,29.1,4.7069598E7,16.8
쇼핑업,면세점,2.80852459E8,29.1,1.86828199E8,66.5
숙박업,기타숙박,1.34149072E8,13.9,3.8130863E7,28.4
숙박업,캠핑장/펜션,1.34149072E8,13.9,537474.0,0.4
숙박업,콘도,1.34149072E8,13.9,4.2938756E7,32.0
숙박업,호텔,1.34149072E8,13.9,5.2541979E7,39.2
식음료업,식음료,4.07818734E8,42.2,4.07818734E8,100.0
여가서비스업,골프장,8.9484387E7,9.3,6.8517755E7,76.6
여가서비스업,관광유원시설,8.9484387E7,9.3,7229593.0,8.1
여가서비스업,기타레저,8.9484387E7,9.3,4334215.0,4.8
여가서비스업,문화서비스,8.9484387E7,9.3,9402825.0,10.5
여행업,여행업,2702233.0,0.3,2702233.0,100.0
운송업,렌터카,5.1549068E7,5.3,3.0450215E7,59.1
운송업,수상운송,5.1549068E7,5.3,2712705.0,5.3
운송업,육상운송,5.1549068E7,5.3,133285.0,0.3
운송업,항공운송,5.1549068E7,5.3,1.8252863E7,35.4
