기초지자체 명,기초지자체 지출액,기초지자체 지출액 비율
거제시,9.4152407E7,6.5
거창군,1.6525372E7,1.1
고성군,2.4674348E7,1.7
김해시,2.03803249E8,14.1
남해군,3.4058072E7,2.4
밀양시,4.0858701E7,2.8
사천시,6.1948213E7,4.3
산청군,1.2801276E7,0.9
양산시,1.55448576E8,10.8
의령군,7164238.0,0.5
진주시,1.03587775E8,7.2
창녕군,3.0698906E7,2.1
창원시 마산합포구,1.09659264E8,7.6
창원시 마산회원구,6.7209855E7,4.7
창원시 성산구,1.61126326E8,11.2
창원시 의창구,9.9657697E7,6.9
창원시 진해구,7.6975949E7,5.3
통영시,7.4061521E7,5.1
하동군,1.6232132E7,1.1
함안군,2.536246E7,1.8
함양군,1.1038021E7,0.8
합천군,1.6237689E7,1.1
