기초지자체 명,기초지자체 지출액,기초지자체 지출액 비율
경산시,1.1598977E8,9.6
경주시,2.39938813E8,19.8
고령군,1.5936148E7,1.3
구미시,1.23771764E8,10.2
군위군,2.1034974E7,1.7
김천시,4.5198412E7,3.7
문경시,3.1001461E7,2.6
봉화군,5223806.0,0.4
상주시,3.0015046E7,2.5
성주군,1.0924734E7,0.9
안동시,6.4185415E7,5.3
영덕군,3.063861E7,2.5
영양군,1543794.0,0.1
영주시,2.8943945E7,2.4
영천시,3.8237754E7,3.2
예천군,1.4505878E7,1.2
울릉군,9801580.0,0.8
울진군,2.3312505E7,1.9
의성군,1.7822871E7,1.5
청도군,3.5743816E7,3.0
청송군,1.1233183E7,0.9
칠곡군,6.1306958E7,5.1
포항시 남구,1.00127444E8,8.3
포항시 북구,1.35029349E8,11.1
