대분류,중분류,대분류 지출액,대분류 지출액 비율,중분류 지출액,중분류 지출액 비율
쇼핑업,관광기념품,3.600835362E9,33.6,1.4461543E7,0.4
쇼핑업,대형쇼핑몰,3.600835362E9,33.6,3.060285876E9,85.0
쇼핑업,레저용품쇼핑,3.600835362E9,33.6,4.95687237E8,13.8
쇼핑업,면세점,3.600835362E9,33.6,3.0400705E7,0.8
숙박업,기타숙박,3.92020314E8,3.7,1.27279024E8,32.5
숙박업,캠핑장/펜션,3.92020314E8,3.7,43614.0,0.0
숙박업,콘도,3.92020314E8,3.7,1303853.0,0.3
숙박업,호텔,3.92020314E8,3.7,2.63393823E8,67.2
식음료업,식음료,5.696777662E9,53.1,5.696777662E9,100.0
여가서비스업,골프장,3.81047357E8,3.6,1.26663645E8,33.2
여가서비스업,관광유원시설,3.81047357E8,3.6,3.7321209E7,9.8
여가서비스업,기타레저,3.81047357E8,3.6,6.0186015E7,15.8
여가서비스업,문화서비스,3.81047357E8,3.6,1.54780064E8,40.6
여가서비스업,스키장,3.81047357E8,3.6,2096425.0,0.6
여행업,여행업,2.3522331E7,0.2,2.3522331E7,100.0
운송업,렌터카,6.2482359E8,5.8,7548706.0,1.2
운송업,수상운송,6.2482359E8,5.8,6.5025878E7,10.4
운송업,육상운송,6.2482359E8,5.8,2.73690915E8,43.8
운송업,항공운송,6.2482359E8,5.8,2.78558091E8,44.6
