대분류,중분류,대분류 지출액,대분류 지출액 비율,중분류 지출액,중분류 지출액 비율
쇼핑업,관광기념품,1.7350681E7,18.0,41203.0,0.2
쇼핑업,대형쇼핑몰,1.7350681E7,18.0,1.1215507E7,64.6
쇼핑업,레저용품쇼핑,1.7350681E7,18.0,6093970.0,35.1
숙박업,기타숙박,2110906.0,2.2,2107193.0,99.8
숙박업,캠핑장/펜션,2110906.0,2.2,3713.0,0.2
식음료업,식음료,6.3553649E7,65.9,6.3553649E7,100.0
여가서비스업,골프장,1.3355077E7,13.9,1.1053411E7,82.8
여가서비스업,관광유원시설,1.3355077E7,13.9,80105.0,0.6
여가서비스업,기타레저,1.3355077E7,13.9,1026078.0,7.7
여가서비스업,문화서비스,1.3355077E7,13.9,1195483.0,9.0
여행업,여행업,426.0,0.0,426.0,100.0
운송업,렌터카,21587.0,0.0,13316.0,61.7
운송업,육상운송,21587.0,0.0,8270.0,38.3
