대분류,중분류,대분류 지출액,대분류 지출액 비율,중분류 지출액,중분류 지출액 비율
쇼핑업,관광기념품,5.52557242E8,35.7,1423645.0,0.3
쇼핑업,대형쇼핑몰,5.52557242E8,35.7,3.98291516E8,72.1
쇼핑업,레저용품쇼핑,5.52557242E8,35.7,1.07276803E8,19.4
쇼핑업,면세점,5.52557242E8,35.7,4.5565278E7,8.2
숙박업,기타숙박,6.0824765E7,3.9,3.1401087E7,51.6
숙박업,캠핑장/펜션,6.0824765E7,3.9,552963.0,0.9
숙박업,콘도,6.0824765E7,3.9,586018.0,1.0
숙박업,호텔,6.0824765E7,3.9,2.8284697E7,46.5
식음료업,식음료,8.1354621E8,52.5,8.1354621E8,100.0
여가서비스업,골프장,9.6851156E7,6.3,6.9699555E7,72.0
여가서비스업,관광유원시설,9.6851156E7,6.3,3835224.0,4.0
여가서비스업,기타레저,9.6851156E7,6.3,1.2093323E7,12.5
여가서비스업,문화서비스,9.6851156E7,6.3,1.1223054E7,11.6
여행업,여행업,401089.0,0.0,401089.0,100.0
운송업,렌터카,2.4885031E7,1.6,476018.0,1.9
운송업,수상운송,2.4885031E7,1.6,6483434.0,26.1
운송업,육상운송,2.4885031E7,1.6,186070.0,0.7
운송업,항공운송,2.4885031E7,1.6,1.7739509E7,71.3
