광역지자체 명,기초지자체 명,광역지자체 지출액,광역지자체 지출액 비율,기초지자체 지출액,기초지자체 지출액 비율
강원도,강릉시,1.275351752E9,3.4,2.08091695119E11,16.3
강원도,고성군,1.275351752E9,3.4,5.3002379597E10,4.2
강원도,동해시,1.275351752E9,3.4,4.241716373E10,3.3
강원도,삼척시,1.275351752E9,3.4,5.5578180959E10,4.4
강원도,속초시,1.275351752E9,3.4,1.66907228121E11,13.1
강원도,양구군,1.275351752E9,3.4,5.292286415E9,0.4
강원도,양양군,1.275351752E9,3.4,5.9094590079E10,4.6
강원도,영월군,1.275351752E9,3.4,1.5119891665E10,1.2
강원도,원주시,1.275351752E9,3.4,1.53819504667E11,12.1
강원도,인제군,1.275351752E9,3.4,1.9292799543E10,1.5
강원도,정선군,1.275351752E9,3.4,3.2499033516E10,2.5
강원도,철원군,1.275351752E9,3.4,1.9134647214E10,1.5
강원도,춘천시,1.275351752E9,3.4,1.82544284224E11,14.3
강원도,태백시,1.275351752E9,3.4,2.1916303752E10,1.7
강원도,평창군,1.275351752E9,3.4,8.5347196152E10,6.7
강원도,홍천군,1.275351752E9,3.4,1.03893202949E11,8.1
강원도,화천군,1.275351752E9,3.4,7.065004742E9,0.6
강원도,횡성군,1.275351752E9,3.4,4.4336359295E10,3.5
경기도,가평군,8.837407868E9,23.8,1.10013036939E11,1.2
경기도,고양시 덕양구,8.837407868E9,23.8,3.11964324385E11,3.5
경기도,고양시 일산동구,8.837407868E9,23.8,2.58442058658E11,2.9
경기도,고양시 일산서구,8.837407868E9,23.8,1.90946212117E11,2.2
경기도,과천시,8.837407868E9,23.8,4.2736610041E10,0.5
경기도,광명시,8.837407868E9,23.8,1.6550540817E11,1.9
경기도,광주시,8.837407868E9,23.8,1.7245755678E11,2.0
경기도,구리시,8.837407868E9,23.8,1.00614679124E11,1.1
경기도,군포시,8.837407868E9,23.8,9.3970480145E10,1.1
경기도,김포시,8.837407868E9,23.8,3.23208529553E11,3.7
경기도,남양주시,8.837407868E9,23.8,3.25215941177E11,3.7
경기도,동두천시,8.837407868E9,23.8,2.8938217074E10,0.3
경기도,부천시,8.837407868E9,23.8,2.5794406205E11,2.9
경기도,성남시 분당구,8.837407868E9,23.8,6.13483621129E11,6.9
경기도,성남시 수정구,8.837407868E9,23.8,1.39219048158E11,1.6
경기도,성남시 중원구,8.837407868E9,23.8,7.7077208929E10,0.9
경기도,수원시 권선구,8.837407868E9,23.8,1.97583856179E11,2.2
경기도,수원시 영통구,8.837407868E9,23.8,3.14855423933E11,3.6
경기도,수원시 장안구,8.837407868E9,23.8,8.674889659E10,1.0
경기도,수원시 팔달구,8.837407868E9,23.8,3.74069480327E11,4.2
경기도,시흥시,8.837407868E9,23.8,2.89547018253E11,3.3
경기도,안산시 단원구,8.837407868E9,23.8,2.68961552587E11,3.0
경기도,안산시 상록구,8.837407868E9,23.8,1.11535963401E11,1.3
경기도,안성시,8.837407868E9,23.8,1.75926815859E11,2.0
경기도,안양시 동안구,8.837407868E9,23.8,3.10164130224E11,3.5
경기도,안양시 만안구,8.837407868E9,23.8,8.8203840322E10,1.0
경기도,양주시,8.837407868E9,23.8,1.10155705393E11,1.2
경기도,양평군,8.837407868E9,23.8,8.4411612009E10,1.0
경기도,여주시,8.837407868E9,23.8,3.05325937266E11,3.5
경기도,연천군,8.837407868E9,23.8,2.0539353658E10,0.2
경기도,오산시,8.837407868E9,23.8,1.27827939063E11,1.4
경기도,용인시 기흥구,8.837407868E9,23.8,2.93415460351E11,3.3
경기도,용인시 수지구,8.837407868E9,23.8,2.16462817308E11,2.4
경기도,용인시 처인구,8.837407868E9,23.8,2.32659640183E11,2.6
경기도,의왕시,8.837407868E9,23.8,1.41317610396E11,1.6
경기도,의정부시,8.837407868E9,23.8,1.83828190193E11,2.1
경기도,이천시,8.837407868E9,23.8,2.31224286329E11,2.6
경기도,파주시,8.837407868E9,23.8,3.34215523148E11,3.8
경기도,평택시,8.837407868E9,23.8,2.27280287904E11,2.6
경기도,포천시,8.837407868E9,23.8,1.62191303736E11,1.8
경기도,하남시,8.837407868E9,23.8,3.5857924665E11,4.1
경기도,화성시,8.837407868E9,23.8,3.78638982349E11,4.3
경상남도,거제시,1.443282047E9,3.9,9.4152406815E10,6.5
경상남도,거창군,1.443282047E9,3.9,1.6525372361E10,1.1
경상남도,고성군,1.443282047E9,3.9,2.4674348214E10,1.7
경상남도,김해시,1.443282047E9,3.9,2.0380324868E11,14.1
경상남도,남해군,1.443282047E9,3.9,3.4058071821E10,2.4
경상남도,밀양시,1.443282047E9,3.9,4.0858701442E10,2.8
경상남도,사천시,1.443282047E9,3.9,6.1948213023E10,4.3
경상남도,산청군,1.443282047E9,3.9,1.2801275696E10,0.9
경상남도,양산시,1.443282047E9,3.9,1.55448575935E11,10.8
경상남도,의령군,1.443282047E9,3.9,7.16423784E9,0.5
경상남도,진주시,1.443282047E9,3.9,1.03587774655E11,7.2
경상남도,창녕군,1.443282047E9,3.9,3.0698906317E10,2.1
경상남도,창원시 마산합포구,1.443282047E9,3.9,1.09659263833E11,7.6
경상남도,창원시 마산회원구,1.443282047E9,3.9,6.7209855141E10,4.7
경상남도,창원시 성산구,1.443282047E9,3.9,1.61126325933E11,11.2
경상남도,창원시 의창구,1.443282047E9,3.9,9.9657697397E10,6.9
경상남도,창원시 진해구,1.443282047E9,3.9,7.6975948572E10,5.3
경상남도,통영시,1.443282047E9,3.9,7.4061521119E10,5.1
경상남도,하동군,1.443282047E9,3.9,1.6232131889E10,1.1
경상남도,함안군,1.443282047E9,3.9,2.5362460201E10,1.8
경상남도,함양군,1.443282047E9,3.9,1.1038020893E10,0.8
경상남도,합천군,1.443282047E9,3.9,1.6237689439E10,1.1
경상북도,경산시,1.211468028E9,3.3,1.15989769889E11,9.6
경상북도,경주시,1.211468028E9,3.3,2.3993881266E11,19.8
경상북도,고령군,1.211468028E9,3.3,1.5936148332E10,1.3
경상북도,구미시,1.211468028E9,3.3,1.23771763666E11,10.2
경상북도,군위군,1.211468028E9,3.3,2.1034973798E10,1.7
경상북도,김천시,1.211468028E9,3.3,4.5198411826E10,3.7
경상북도,문경시,1.211468028E9,3.3,3.1001460598E10,2.6
경상북도,봉화군,1.211468028E9,3.3,5.223805527E9,0.4
경상북도,상주시,1.211468028E9,3.3,3.0015045541E10,2.5
경상북도,성주군,1.211468028E9,3.3,1.0924733617E10,0.9
경상북도,안동시,1.211468028E9,3.3,6.4185415109E10,5.3
경상북도,영덕군,1.211468028E9,3.3,3.0638610045E10,2.5
경상북도,영양군,1.211468028E9,3.3,1.543793966E9,0.1
경상북도,영주시,1.211468028E9,3.3,2.894394515E10,2.4
경상북도,영천시,1.211468028E9,3.3,3.8237753607E10,3.2
경상북도,예천군,1.211468028E9,3.3,1.4505877752E10,1.2
경상북도,울릉군,1.211468028E9,3.3,9.801580267E9,0.8
경상북도,울진군,1.211468028E9,3.3,2.3312505292E10,1.9
경상북도,의성군,1.211468028E9,3.3,1.7822871371E10,1.5
경상북도,청도군,1.211468028E9,3.3,3.5743816436E10,3.0
경상북도,청송군,1.211468028E9,3.3,1.1233182595E10,0.9
경상북도,칠곡군,1.211468028E9,3.3,6.1306957938E10,5.1
경상북도,포항시 남구,1.211468028E9,3.3,1.00127443985E11,8.3
경상북도,포항시 북구,1.211468028E9,3.3,1.35029349346E11,11.1
광주광역시,광산구,8.97021788E8,2.4,1.87873711614E11,20.9
광주광역시,남구,8.97021788E8,2.4,6.2941103048E10,7.0
광주광역시,동구,8.97021788E8,2.4,1.38544716784E11,15.4
광주광역시,북구,8.97021788E8,2.4,1.31527591443E11,14.7
광주광역시,서구,8.97021788E8,2.4,3.76134664879E11,41.9
대구광역시,남구,1.602439023E9,4.3,5.5755139127E10,3.5
대구광역시,달서구,1.602439023E9,4.3,2.07829409705E11,13.0
대구광역시,달성군,1.602439023E9,4.3,7.6986427225E10,4.8
대구광역시,동구,1.602439023E9,4.3,5.24803336779E11,32.8
대구광역시,북구,1.602439023E9,4.3,1.59280488022E11,9.9
대구광역시,서구,1.602439023E9,4.3,8.109606809E10,5.1
대구광역시,수성구,1.602439023E9,4.3,1.88704353883E11,11.8
대구광역시,중구,1.602439023E9,4.3,3.0798380016E11,19.2
대전광역시,대덕구,1.245251843E9,3.4,4.0505643147E10,3.3
대전광역시,동구,1.245251843E9,3.4,4.9701454026E11,39.9
대전광역시,서구,1.245251843E9,3.4,2.4859986429E11,20.0
대전광역시,유성구,1.245251843E9,3.4,3.56567719424E11,28.6
대전광역시,중구,1.245251843E9,3.4,1.02564076197E11,8.2
부산광역시,강서구,2.734469184E9,7.4,1.52609173753E11,5.6
부산광역시,금정구,2.734469184E9,7.4,1.06513641135E11,3.9
부산광역시,기장군,2.734469184E9,7.4,3.52940862795E11,12.9
부산광역시,남구,2.734469184E9,7.4,8.8746528442E10,3.2
부산광역시,동구,2.734469184E9,7.4,8.2715904288E10,3.0
부산광역시,동래구,2.734469184E9,7.4,1.53322777343E11,5.6
부산광역시,부산진구,2.734469184E9,7.4,3.60850458894E11,13.2
부산광역시,북구,2.734469184E9,7.4,1.84963710009E11,6.8
부산광역시,사상구,2.734469184E9,7.4,1.01809428544E11,3.7
부산광역시,사하구,2.734469184E9,7.4,7.2914498112E10,2.7
부산광역시,서구,2.734469184E9,7.4,4.2414839836E10,1.6
부산광역시,수영구,2.734469184E9,7.4,1.43515577983E11,5.2
부산광역시,연제구,2.734469184E9,7.4,1.33571419583E11,4.9
부산광역시,영도구,2.734469184E9,7.4,3.2027176958E10,1.2
부산광역시,중구,2.734469184E9,7.4,1.54598101289E11,5.7
부산광역시,해운대구,2.734469184E9,7.4,5.70955084805E11,20.9
서울특별시,강남구,1.0719026616E10,28.9,1.636703295761E12,15.3
서울특별시,강동구,1.0719026616E10,28.9,1.97811371503E11,1.8
서울특별시,강북구,1.0719026616E10,28.9,1.31701398927E11,1.2
서울특별시,강서구,1.0719026616E10,28.9,6.52609501479E11,6.1
서울특별시,관악구,1.0719026616E10,28.9,2.16820123985E11,2.0
서울특별시,광진구,1.0719026616E10,28.9,2.51834980832E11,2.3
서울특별시,구로구,1.0719026616E10,28.9,2.36530710986E11,2.2
서울특별시,금천구,1.0719026616E10,28.9,2.66122371117E11,2.5
서울특별시,노원구,1.0719026616E10,28.9,2.36893042884E11,2.2
서울특별시,도봉구,1.0719026616E10,28.9,9.8551909448E10,0.9
서울특별시,동대문구,1.0719026616E10,28.9,1.79924576697E11,1.7
서울특별시,동작구,1.0719026616E10,28.9,1.65665022256E11,1.5
서울특별시,마포구,1.0719026616E10,28.9,5.26094824261E11,4.9
서울특별시,서대문구,1.0719026616E10,28.9,1.99307056643E11,1.9
서울특별시,서초구,1.0719026616E10,28.9,1.066043661423E12,9.9
서울특별시,성동구,1.0719026616E10,28.9,3.07407050352E11,2.9
서울특별시,성북구,1.0719026616E10,28.9,1.53555351037E11,1.4
서울특별시,송파구,1.0719026616E10,28.9,7.48749315086E11,7.0
서울특별시,양천구,1.0719026616E10,28.9,1.81191104459E11,1.7
서울특별시,영등포구,1.0719026616E10,28.9,7.1319957703E11,6.7
서울특별시,용산구,1.0719026616E10,28.9,4.46845864255E11,4.2
서울특별시,은평구,1.0719026616E10,28.9,1.54355941046E11,1.4
서울특별시,종로구,1.0719026616E10,28.9,5.00165650853E11,4.7
서울특별시,중구,1.0719026616E10,28.9,1.332974487057E12,12.4
서울특별시,중랑구,1.0719026616E10,28.9,1.17968427062E11,1.1
세종특별자치시,세종특별자치시,9.6392325E7,0.3,9.6392324558E10,100.0
울산광역시,남구,5.12323214E8,1.4,2.14678445967E11,41.9
울산광역시,동구,5.12323214E8,1.4,4.4005534132E10,8.6
울산광역시,북구,5.12323214E8,1.4,8.7322016401E10,17.0
울산광역시,울주군,5.12323214E8,1.4,1.08615712004E11,21.2
울산광역시,중구,5.12323214E8,1.4,5.7701505282E10,11.3
인천광역시,강화군,1.549065493E9,4.2,5.9206799036E10,3.8
인천광역시,계양구,1.549065493E9,4.2,9.1295854188E10,5.9
인천광역시,남동구,1.549065493E9,4.2,2.13483285526E11,13.8
인천광역시,동구,1.549065493E9,4.2,5.1683660943E10,3.3
인천광역시,미추홀구,1.549065493E9,4.2,2.17577298613E11,14.0
인천광역시,부평구,1.549065493E9,4.2,1.70581036161E11,11.0
인천광역시,서구,1.549065493E9,4.2,1.65652165378E11,10.7
인천광역시,연수구,1.549065493E9,4.2,2.78125692649E11,18.0
인천광역시,옹진군,1.549065493E9,4.2,1.498819966E10,1.0
인천광역시,중구,1.549065493E9,4.2,2.86471500904E11,18.5
전라남도,강진군,8.95672981E8,2.4,1.3576967568E10,1.5
전라남도,고흥군,8.95672981E8,2.4,1.2880513282E10,1.4
전라남도,곡성군,8.95672981E8,2.4,1.7489863545E10,2.0
전라남도,광양시,8.95672981E8,2.4,5.0808680792E10,5.7
전라남도,구례군,8.95672981E8,2.4,9.903941467E9,1.1
전라남도,나주시,8.95672981E8,2.4,5.2000643139E10,5.8
전라남도,담양군,8.95672981E8,2.4,4.94494466E10,5.5
전라남도,목포시,8.95672981E8,2.4,1.14001368614E11,12.7
전라남도,무안군,8.95672981E8,2.4,7.2322384929E10,8.1
전라남도,보성군,8.95672981E8,2.4,1.6168841666E10,1.8
전라남도,순천시,8.95672981E8,2.4,1.13462065056E11,12.7
전라남도,신안군,8.95672981E8,2.4,8.598447777E9,1.0
전라남도,여수시,8.95672981E8,2.4,1.78574458313E11,19.9
전라남도,영광군,8.95672981E8,2.4,1.8296320116E10,2.0
전라남도,영암군,8.95672981E8,2.4,2.7421650224E10,3.1
전라남도,완도군,8.95672981E8,2.4,1.0762866087E10,1.2
전라남도,장성군,8.95672981E8,2.4,2.2038960992E10,2.5
전라남도,장흥군,8.95672981E8,2.4,1.3697714172E10,1.5
전라남도,진도군,8.95672981E8,2.4,1.8373182452E10,2.1
전라남도,함평군,8.95672981E8,2.4,1.4831909323E10,1.7
전라남도,해남군,8.95672981E8,2.4,2.3744801173E10,2.7
전라남도,화순군,8.95672981E8,2.4,3.7267954037E10,4.2
전라북도,고창군,7.9275651E8,2.1,2.6327427777E10,3.3
전라북도,군산시,7.9275651E8,2.1,1.07240831549E11,13.5
전라북도,김제시,7.9275651E8,2.1,3.7449132104E10,4.7
전라북도,남원시,7.9275651E8,2.1,3.6055661509E10,4.5
전라북도,무주군,7.9275651E8,2.1,2.0534179412E10,2.6
전라북도,부안군,7.9275651E8,2.1,2.6066361769E10,3.3
전라북도,순창군,7.9275651E8,2.1,8.571937367E9,1.1
전라북도,완주군,7.9275651E8,2.1,4.7045309056E10,5.9
전라북도,익산시,7.9275651E8,2.1,7.0031795555E10,8.8
전라북도,임실군,7.9275651E8,2.1,1.5412230371E10,1.9
전라북도,장수군,7.9275651E8,2.1,6.214756288E9,0.8
전라북도,전주시 덕진구,7.9275651E8,2.1,1.26925587975E11,16.0
전라북도,전주시 완산구,7.9275651E8,2.1,2.24618404879E11,28.3
전라북도,정읍시,7.9275651E8,2.1,3.1580368924E10,4.0
전라북도,진안군,7.9275651E8,2.1,8.682525809E9,1.1
