대분류,중분류,대분류 지출액,대분류 지출액 비율,중분류 지출액,중분류 지출액 비율
쇼핑업,관광기념품,2.05016033E8,25.9,2160615.0,1.1
쇼핑업,대형쇼핑몰,2.05016033E8,25.9,1.08742991E8,53.0
쇼핑업,레저용품쇼핑,2.05016033E8,25.9,9.4112426E7,45.9
숙박업,기타숙박,3.8242504E7,4.8,2.6343547E7,68.9
숙박업,캠핑장/펜션,3.8242504E7,4.8,293052.0,0.8
숙박업,콘도,3.8242504E7,4.8,1.05311E7,27.5
숙박업,호텔,3.8242504E7,4.8,1074805.0,2.8
식음료업,식음료,4.51686823E8,57.0,4.51686823E8,100.0
여가서비스업,골프장,9.735267E7,12.3,8.2487341E7,84.7
여가서비스업,관광유원시설,9.735267E7,12.3,1998469.0,2.1
여가서비스업,기타레저,9.735267E7,12.3,6540218.0,6.7
여가서비스업,문화서비스,9.735267E7,12.3,6326642.0,6.5
여행업,여행업,95751.0,0.0,95751.0,100.0
운송업,렌터카,362729.0,0.0,241883.0,66.7
운송업,수상운송,362729.0,0.0,12075.0,3.3
운송업,육상운송,362729.0,0.0,21771.0,6.0
운송업,항공운송,362729.0,0.0,87001.0,24.0
