대분류,중분류,대분류 지출액,대분류 지출액 비율,중분류 지출액,중분류 지출액 비율
쇼핑업,관광기념품,2.32315269E8,23.9,1512568.0,0.7
쇼핑업,대형쇼핑몰,2.32315269E8,23.9,1.52065436E8,65.5
쇼핑업,레저용품쇼핑,2.32315269E8,23.9,7.8737265E7,33.9
숙박업,기타숙박,3.6064877E7,3.7,2.5537688E7,70.8
숙박업,캠핑장/펜션,3.6064877E7,3.7,219681.0,0.6
숙박업,콘도,3.6064877E7,3.7,8243885.0,22.9
숙박업,호텔,3.6064877E7,3.7,2063623.0,5.7
식음료업,식음료,5.21327442E8,53.6,5.21327442E8,100.0
여가서비스업,골프장,1.80523777E8,18.6,1.6425515E8,91.0
여가서비스업,관광유원시설,1.80523777E8,18.6,2324379.0,1.3
여가서비스업,기타레저,1.80523777E8,18.6,6704204.0,3.7
여가서비스업,문화서비스,1.80523777E8,18.6,7240043.0,4.0
여행업,여행업,73577.0,0.0,73577.0,100.0
운송업,렌터카,2403119.0,0.2,216638.0,9.0
운송업,수상운송,2403119.0,0.2,736039.0,30.6
운송업,육상운송,2403119.0,0.2,10302.0,0.4
운송업,항공운송,2403119.0,0.2,1440140.0,59.9
